Orthogroup	Microcebus_murinus	Mesocricetus_auratus
OG0000000	XP_012616738.1	XP_040590578.1
OG0000000	XP_020138819.1, XP_012626318.1, XP_012641044.1, XP_012613266.1, XP_012628339.1, XP_012628337.1, XP_012613289.1	XP_040589832.1
OG0000000	XP_012633947.1, XP_012617244.2, XP_012634058.1, XP_012621017.2, XP_020145876.1, XP_012607300.1, XP_012605672.1, XP_020143628.1, XP_020140961.1, XP_020140962.1, XP_020140964.1, XP_020140957.1, XP_020144151.1, XP_020140966.1, XP_020140974.1, XP_012634054.1, XP_020146092.1, XP_020146094.1, XP_012634002.2, XP_020146097.1, XP_012617241.1, XP_020140969.1, XP_020144285.1, XP_012596655.2, XP_012634056.1, XP_012615835.2, XP_020140965.1, XP_012621727.2, XP_020140972.1, XP_020143603.1, XP_012605668.2, XP_020143604.1, XP_020140650.1, XP_020140956.1, XP_012607505.1	XP_005069759.1
OG0000000	XP_012630310.1	XP_012980823.1
OG0000000	XP_012613228.1	XP_005085706.2
OG0000000	XP_012630387.1	XP_040590281.1, XP_040590282.1
OG0000000	XP_012630372.1	XP_021078768.2
OG0000000	XP_012630285.2, XP_012630378.1	XP_021078895.1
OG0000000	XP_020139008.1, XP_012606846.2	XP_040613645.1
OG0000000	XP_012604505.1, XP_012613248.1	XP_040589935.1
OG0000000	XP_020143602.1, XP_012615665.1	XP_040592164.1
OG0000001	XP_012646010.1, XP_012645968.1, XP_012645956.1, XP_012645793.1, XP_020139507.1, XP_020139506.1, XP_012646003.1, XP_012645977.2, XP_012645971.1, XP_020139387.1	XP_012976937.1
OG0000001	XP_012645962.2	XP_012974810.3
OG0000001	XP_012646178.1, XP_012646169.1, XP_012646150.1	XP_012981467.1
OG0000002	XP_012645796.1, XP_020139519.1, XP_012646004.2, XP_020139359.1	XP_005083422.1, XP_005083421.1
OG0000003	XP_012596788.1	XP_005086745.1, XP_005086737.1, XP_005066534.1
OG0000003	XP_012597460.1, XP_012597518.1	XP_040611624.1, XP_040611622.1, XP_021091128.1, XP_012979222.1
OG0000003	XP_012597512.1	XP_040611612.1
OG0000003	XP_012634028.1	XP_012967010.1
OG0000003	XP_012597454.1, XP_012597551.1, XP_012597459.1, XP_012597458.1	XP_021079067.1
OG0000004	XP_012596784.1	XP_040611615.1
OG0000004	XP_012634027.1	XP_005067769.1
OG0000004	XP_012609566.1	XP_040608137.1
OG0000004	XP_012609567.1	XP_021091122.2
OG0000004	XP_012609187.1	XP_005072949.1
OG0000004	XP_012609568.1	XP_021091115.2
OG0000005	XP_012610257.1	XP_005079738.2
OG0000005	XP_020143017.1	XP_021088443.2, XP_040610223.1
OG0000005	XP_012610269.1	XP_005079739.1
OG0000005	XP_012609942.2	XP_005079742.2, XP_040611146.1
OG0000005	XP_012610373.1	XP_021088490.2
OG0000005	XP_012610321.1	XP_012975766.3, XP_005079740.2
OG0000005	XP_012610295.1	XP_005079741.1
OG0000005	XP_012609981.1	XP_005079743.1
OG0000006	XP_012632903.1	XP_040589604.1
OG0000006	XP_020140814.1	XP_040597264.1
OG0000007	XP_012606828.1	XP_005087808.1, XP_040590162.1, XP_005087807.2
OG0000007	XP_012613253.2, XP_012613252.2, XP_012613254.2, XP_012613251.1	XP_040597067.1
OG0000008	XP_012624356.1	XP_005085123.2
OG0000008	XP_012612641.1	XP_012981311.2
OG0000008	XP_012603709.1	XP_012980805.2
