Orthogroup	Ictidomys_tridecemlineatus	Rattus_norvegicus
OG0000000	XP_005338252.2	XP_008757184.1, NP_001017512.2
OG0000000	XP_005336165.1	XP_017451463.1
OG0000000	XP_021576805.2	XP_063133080.1
OG0000000	XP_021588625.1	XP_063138925.1, XP_063138926.1, NP_001388796.1, XP_006227880.2, NP_001396202.1, XP_017446703.2, XP_063138922.1, NP_001333356.1, XP_063129853.1, NP_001333357.1, NP_001395830.1, XP_006232167.1, NP_001395828.1, NP_001132963.1, XP_038957792.1, NP_775436.2, NP_001389009.1
OG0000000	XP_021576898.1	NP_001128198.1, XP_038944205.1
OG0000000	XP_005342012.1	NP_001094461.1, XP_038943235.1
OG0000000	XP_021576027.1, XP_021576894.1	XP_006255213.1
OG0000000	XP_040146794.1, XP_040136033.1, XP_021576780.1	XP_063133243.1
OG0000000	XP_013221241.1	XP_006228251.1, NP_001008557.1
OG0000000	XP_013212186.1	XP_063119671.1, NP_001387994.1
OG0000001	XP_021576558.1, XP_013221205.1	NP_001103147.2
OG0000001	XP_021587205.1, XP_021587207.1, XP_021587102.1, XP_021587204.1, XP_040146264.1, XP_040146260.1, XP_013217290.1, XP_013217292.1	NP_001128033.2, XP_017450288.1
OG0000001	XP_005336245.2, XP_013218788.2	NP_001396167.1
OG0000001	XP_040137776.1	XP_063138867.1
OG0000002	XP_005336366.1	NP_001000108.1, XP_006255421.1
OG0000002	XP_005342867.1, XP_013221644.1, XP_005336367.1, XP_005336318.1, XP_005336319.1, XP_005336368.1	NP_001396109.1
OG0000002	XP_005336370.1, XP_005336377.2	NP_001000712.1, NP_001000421.1
OG0000002	XP_021577056.1, XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1	NP_997480.2, NP_001000941.1
OG0000003	XP_005337132.1, XP_013216605.1	NP_001396017.1
OG0000003	XP_005337109.1	NP_001100822.1
OG0000003	XP_021590095.1, XP_005337121.1, XP_005337103.1	NP_001395954.1
OG0000003	XP_021590094.1	NP_001101884.1
OG0000003	XP_005342617.1	NP_001104597.1
OG0000003	XP_005342616.1	NP_001103111.1
OG0000003	XP_013219121.1, XP_005337126.1	NP_001102870.1
OG0000004	XP_013219115.1	NP_001395680.1, NP_001395861.1, NP_001102893.1
OG0000004	XP_005337114.1	NP_001395599.1
OG0000004	XP_005331193.1, XP_005331195.1	NP_001302422.1
OG0000004	XP_021586083.1	NP_001104811.1
OG0000004	XP_005331946.1	NP_001103080.1
OG0000004	XP_005331198.1	NP_001395771.1
OG0000005	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1	NP_001000060.1
OG0000005	XP_005342755.2	NP_001000587.1, NP_001001360.1, NP_001000703.1
OG0000005	XP_005342565.1	NP_001000056.1
OG0000005	XP_005342769.3	NP_001000700.1, NP_001001356.1
OG0000005	XP_005342567.1	NP_001000055.1
OG0000006	XP_013220679.2	XP_063120688.1, XP_063120689.1, XP_063120693.1, XP_063120692.1, XP_063120691.1, XP_063120732.1, XP_063120731.1, XP_063120734.1, XP_063120733.1, XP_063120690.1, XP_063120687.1, XP_063120686.1
OG0000006	XP_021581918.1, XP_040137954.1, XP_013211517.1, XP_040129277.1, XP_040129216.1, XP_013220730.2, XP_040139203.1, XP_040146805.1, XP_040146864.1, XP_040126337.1, XP_040134474.1, XP_021586353.1, XP_013213549.1, XP_040141572.1, XP_040133703.1, XP_040145847.1, XP_013221250.2, XP_040137093.1, XP_040143137.1	XP_038956947.1, XP_038969294.2, XP_063120484.1, XP_038956651.1, XP_063136755.1, XP_063141299.1, XP_038959293.1, XP_063118789.1, XP_063136877.1, XP_063136617.1, XP_063132198.1
OG0000006	XP_040134543.1	XP_063136870.1, XP_063141386.1, XP_063118827.1, XP_063144593.1, XP_063144737.1, XP_063135728.1, XP_063122471.1, XP_063120526.1, XP_063136637.1, XP_063122436.1, XP_063129788.1, XP_063138919.1, XP_063138801.1, XP_063138800.1, XP_063120507.1, XP_063128749.1, XP_063118653.1, XP_063136520.1, XP_063138765.1, XP_063144646.1, XP_063130967.1, XP_063132935.1, XP_063132936.1, XP_063138932.1, XP_063138931.1, XP_063131938.1, XP_063131939.1, XP_063132126.1, XP_063129896.1, XP_063138877.1, XP_063142959.1, XP_038956440.2, XP_063133756.1, XP_063138828.1, XP_063129865.1, XP_063130926.1, XP_063133785.1, XP_063127951.1, XP_063120511.1, XP_038962176.2, XP_063136784.1, XP_063122429.1
OG0000007	XP_005341817.1	XP_038953247.1, XP_038953242.1, XP_038953239.1
OG0000007	XP_005341842.2, XP_021576801.1, XP_005341858.3, XP_040135114.1, XP_005342044.1, XP_005342048.1, XP_005342968.2, XP_021576917.1, XP_005342043.1, XP_021576802.1, XP_005342846.1, XP_005341843.1, XP_005341851.1, XP_005341854.1, XP_005341852.2, XP_005342969.1, XP_005342038.2, XP_005341850.1	NP_001009510.1
OG0000007	XP_013221472.2, XP_005341849.1, XP_005342047.1, XP_021576916.1, XP_005342040.1, XP_005342039.1, XP_013221475.2, XP_005342895.1, XP_005341855.1, XP_040135783.1, XP_013221473.1	NP_001008907.1, NP_001009512.1, XP_017446036.1, NP_001008905.1, NP_001009514.1, NP_001009526.2, XP_038952937.1, XP_038952929.1, XP_038952945.1, NP_001008946.1, NP_001008952.1, XP_063136835.1, NP_001008953.1, XP_006228226.1, XP_038953103.1, XP_038953124.1, XP_038953132.1, XP_038953067.1, NP_001395759.1, XP_038953164.1
OG0000008	XP_021585038.2	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1
OG0000008	XP_040142796.1, XP_005340718.1, XP_040142795.1	XP_017457697.2
OG0000008	XP_021575996.1	XP_008757447.1, XP_008757448.1, XP_017445996.1
OG0000008	XP_005340090.1	XP_006248929.1, NP_001178593.1
OG0000008	XP_021575630.1	XP_221917.5, NP_001414121.1
OG0000008	XP_013211286.2, XP_021579127.1	NP_001100474.2
OG0000008	XP_021577186.1, XP_040129248.1	NP_001163875.1, XP_038945496.1, XP_063122443.1, XP_008764233.1, XP_038956806.1, XP_008757500.1
OG0000008	XP_005324078.1	XP_063136497.1
OG0000008	XP_021577360.1	NP_001020936.1, XP_063134265.1
OG0000009	XP_040139563.1, XP_040137927.1	NP_001161825.1
OG0000009	XP_040138373.1	NP_001008834.1, XP_063135479.1, NP_001008845.1, NP_001008841.1, XP_038954892.1, XP_063135474.1, NP_001008838.1, NP_001008836.1, XP_063135475.1, XP_038954887.1, NP_001008842.1, NP_001008839.1, XP_063135491.1, XP_063135177.1, NP_001029158.1, XP_063135032.1, NP_001008827.1, XP_063135457.1, NP_001008833.1, XP_063135487.1, NP_001008830.1, XP_038954604.1, NP_001008840.1, NP_001008832.1, XP_038954582.1, XP_063135164.1, NP_001008835.1, NP_001008829.1, XP_063135035.1
OG0000010	XP_021585329.1	NP_001000513.1, NP_001001064.1
OG0000010	XP_013216063.1	XP_038962000.1, NP_001000627.1
OG0000010	XP_005341590.1, XP_005330122.1, XP_005330123.1	NP_001000359.1
OG0000010	XP_005330009.1, XP_005330125.1, XP_005330126.1, XP_005330124.1, XP_005341591.1, XP_005330010.1, XP_005330129.3, XP_005341582.1, XP_005330008.1	NP_001001067.1
OG0000011	XP_005324350.2	NP_001395834.1
OG0000011	XP_013213581.1	XP_001055818.2
OG0000011	XP_005324322.1	NP_001102593.2
OG0000011	XP_005324316.1	NP_001102865.1
OG0000011	XP_005324315.2	NP_001395838.1
OG0000011	XP_013213584.1	NP_001014783.1
OG0000011	XP_005324317.2	NP_001014804.1, NP_001391845.1
OG0000011	XP_013213578.3, XP_013213630.1	NP_001108074.2, NP_001102860.1, NP_001395766.1
OG0000011	XP_021581395.1	NP_001395668.1
OG0000011	XP_013213560.1, XP_005324320.1	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2
OG0000011	XP_021581335.1	NP_001403744.1
OG0000012	XP_005329220.1	NP_001037711.1, XP_063136102.1
OG0000012	XP_021584687.1	XP_003752106.1
OG0000012	XP_005329233.1, XP_005329232.1	NP_001395772.1, NP_001171154.1
OG0000012	XP_040144109.1	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1
OG0000013	XP_013216903.1	NP_001000881.1
OG0000013	XP_005332323.1, XP_005342182.1, XP_005342196.1, XP_013221550.1, XP_005342900.1, XP_005342197.1, XP_013221954.1, XP_013216895.1, XP_013216897.1, XP_013216901.1, XP_005332218.1, XP_005332217.1, XP_013216900.1, XP_040146944.1, XP_040146942.1	NP_001000883.1
OG0000013	XP_005342933.2, XP_040146943.1, XP_005332219.2	XP_017451017.1, NP_001000432.1, NP_001000429.1
OG0000014	XP_021576769.1	XP_006228239.1, XP_008757305.3, NP_001178549.1
OG0000014	XP_013221372.3	XP_038956264.1
OG0000015	XP_040147035.1	NP_001406638.1
OG0000015	XP_013221554.1, XP_005342190.2	NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1
OG0000015	XP_040147037.1	XP_038938790.1, XP_002729926.5
OG0000016	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1
OG0000017	XP_013215216.2	NP_001000038.1, NP_001001098.1
OG0000017	XP_005319549.1	NP_001000492.1
OG0000018	XP_005332630.1	XP_063124385.1, NP_446437.1, NP_001389155.1, NP_001389154.1
OG0000018	XP_005331196.1	XP_063133017.1
OG0000018	XP_021590090.1	XP_063133018.1
OG0000018	XP_021590092.1	NP_001395691.1
OG0000018	XP_005342614.1	NP_001103112.1
OG0000018	XP_013214667.1	XP_063118698.1
OG0000019	XP_005337209.1, XP_005337210.1, XP_005342124.1, XP_005337214.1	NP_001000602.1, NP_001000580.1, XP_063141268.1, NP_001000915.1, NP_001000377.2, NP_001000606.1, NP_001000917.1, NP_001000375.1, NP_001000603.1
OG0000019	XP_005337215.1, XP_040144992.1	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1
OG0000019	XP_005337230.1	XP_017447447.1, NP_001000607.1
OG0000019	XP_005337206.1, XP_005337211.1, XP_005337213.1, XP_005337212.1	NP_001000604.1
OG0000019	XP_005337207.1	NP_001000601.1, NP_001000376.1
OG0000020	XP_040135762.1, XP_040135767.1, XP_040135766.1, XP_040135768.1	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1
OG0000020	XP_040135765.1, XP_021577041.2	XP_063130894.1, NP_001093593.1, NP_001070261.1, XP_008757210.1
