Orthogroup	Loxodonta_africana	Echinops_telfairi
OG0000000	XP_023399955.1	XP_045148344.1
OG0000000	XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1	XP_045148498.1
OG0000000	XP_010584894.1	XP_045148479.1, XP_045148490.1
OG0000000	XP_003422344.1, XP_023397248.1	XP_045148842.1
OG0000000	XP_023397246.1	XP_045148829.1, XP_045148828.1
OG0000000	XP_023397216.1	XP_045148833.1
OG0000000	XP_023397249.1	XP_030742044.2
OG0000000	XP_010599884.1, XP_023397253.1	XP_030742236.1
OG0000000	XP_023397392.1	XP_045142753.1
OG0000000	XP_023399407.1	XP_045148296.1
OG0000000	XP_023399459.1	XP_045148252.1, XP_045148251.1
OG0000000	XP_003406923.2	XP_004715710.1
OG0000000	XP_010600469.2	XP_045142672.1
OG0000001	XP_023398290.1, XP_023398289.1, XP_010599729.2, XP_023396729.1	XP_045156010.1
OG0000001	XP_023407671.1, XP_010591667.1	XP_045156114.1
OG0000002	XP_003413368.1	XP_004715608.1
OG0000002	XP_003413355.2, XP_003413366.1, XP_003413356.1, XP_003423569.1, XP_003413365.2, XP_003413363.1, XP_023408073.1, XP_023408072.1, XP_003413358.1, XP_003413360.1, XP_003423570.1, XP_003413357.1, XP_003413362.2, XP_003413364.1	XP_004715602.1
OG0000002	XP_003413097.2	XP_004715533.1
OG0000002	XP_003413369.2	XP_030741354.1
OG0000002	XP_023408074.1	XP_004715534.1, XP_030741365.1
OG0000003	XP_010594469.1, XP_023411490.1, XP_003421157.1, XP_003416466.1, XP_003416445.1, XP_023411491.1	XP_004712547.1
OG0000003	XP_023396024.1, XP_023403170.1	XP_030743047.1
OG0000003	XP_023411488.1, XP_023396025.1	XP_004712556.1
OG0000003	XP_023403165.1	XP_004716623.1
OG0000004	XP_023396022.1, XP_003416470.1, XP_023411486.1, XP_003421190.1, XP_003409367.1	XP_004712548.1
OG0000004	XP_003421154.2	XP_004712558.1
OG0000004	XP_003409559.1	XP_004716624.1
OG0000005	XP_010595805.1, XP_003405135.2	XP_030743198.1
OG0000005	XP_003405571.1, XP_003405575.1	XP_004700918.3
OG0000005	XP_003405134.2, XP_010599311.1	XP_004700923.1
OG0000005	XP_010601004.1, XP_003405577.2, XP_010600920.2, XP_003405581.2, XP_003405141.2, XP_010599357.1, XP_003405137.3	XP_004700650.1, XP_030741266.1
OG0000005	XP_003405136.1	XP_004700654.1
OG0000005	XP_010595858.1, XP_003405560.1	XP_004717924.1
OG0000005	XP_023396363.1	XP_004700643.1
OG0000006	XP_023411689.1	XP_045145606.1
OG0000007	XP_023399856.1, XP_023399857.1	XP_030742138.1, XP_004715725.1, XP_030742141.1
OG0000007	XP_010584713.1, XP_003406459.1, XP_003406456.1, XP_003406457.1, XP_023398909.1, XP_023398910.1, XP_023399797.1, XP_003406455.1, XP_003406479.1, XP_023398911.1, XP_003406460.1, XP_003406462.1, XP_003406461.1, XP_003406458.1, XP_010585307.2, XP_023399243.1	XP_012863437.1
OG0000008	XP_023399207.1	XP_045148515.1
OG0000008	XP_010586028.2	XP_045152547.1
OG0000008	XP_023411607.1	XP_045141709.1
OG0000008	XP_010594572.1	XP_045141717.1
OG0000008	XP_010595066.1	XP_045149590.1
OG0000009	XP_010599501.2, XP_003423760.3, XP_023397179.1, XP_010600918.1	XP_045151687.1, XP_045151702.1
OG0000010	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1
OG0000010	XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1	XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3
OG0000010	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1	XP_004708520.1, XP_030741715.1
OG0000010	XP_003412119.2, XP_003412120.2	XP_004708431.3
OG0000011	XP_023405595.1	XP_012861711.2
OG0000011	XP_023405607.1	XP_012860119.2
OG0000012	XP_010594127.1	XP_004714207.1, XP_012861936.2, XP_012864145.1
OG0000012	XP_023410900.1	XP_030743784.1
OG0000012	XP_003416054.1	XP_004713945.1
OG0000012	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1	XP_012862981.1
OG0000012	XP_023410902.1	XP_004714205.2
OG0000012	XP_003416100.1	XP_045146714.1, XP_045146698.1, XP_045146499.1
OG0000012	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1	XP_004713947.1, XP_004711269.1
OG0000013	XP_023398492.1	XP_004714288.1, XP_004714287.1
OG0000013	XP_003413463.1, XP_003413462.2, XP_003413461.2, XP_003423702.1, XP_023408238.1, XP_003423701.2	XP_004714376.1
OG0000013	XP_023398234.1	XP_004714372.1
OG0000013	XP_003423318.1, XP_023398549.1, XP_023398342.1, XP_003423640.1, XP_023407701.1, XP_003413153.1, XP_010591837.1, XP_003413154.1, XP_003422948.1	XP_004714289.1
OG0000013	XP_003423616.2, XP_023398096.1, XP_003423491.1, XP_003423716.2	XP_012863082.1
OG0000013	XP_003423082.3, XP_003423081.3, XP_003423080.2, XP_010600893.1, XP_003423501.1, XP_003423084.3, XP_023398154.1, XP_023398099.1, XP_003423406.2, XP_010600648.1, XP_003423750.2, XP_003423763.1, XP_023398236.1, XP_003423646.1, XP_010600645.1, XP_010600765.1, XP_023398155.1, XP_003423635.1, XP_023398157.1, XP_023398098.1, XP_023398235.1, XP_010600767.1, XP_010600647.1, XP_023398156.1	XP_012863083.1
OG0000013	XP_023398231.1, XP_023398293.1, XP_023398464.1, XP_010600703.2, XP_023398233.1, XP_010600958.2, XP_023398124.1, XP_023398344.1	XP_004714375.1, XP_004714374.1
