Orthogroup	Mesocricetus_auratus	Mus_musculus
OG0000000	XP_040590578.1	XP_030098258.1, NP_033587.2
OG0000000	XP_040586165.1	XP_030100300.1, NP_001004190.2
OG0000000	XP_040589832.1	NP_663458.2
OG0000000	XP_040613640.1	NP_573491.2
OG0000000	XP_021091568.2	NP_001001130.1, NP_938081.2, NP_001012325.2
OG0000000	XP_040613688.1, XP_005065477.2	NP_082678.2, NP_001360967.2
OG0000000	XP_040613642.1, XP_040613648.1, XP_040613841.1	NP_001041669.1, NP_001001186.3, NP_001074410.2, NP_001013791.2, NP_808479.1
OG0000000	XP_005069759.1	NP_001094948.1
OG0000000	XP_021079596.1, XP_040597034.1, XP_040590073.1, XP_040590097.1, XP_040590071.1	XP_036008322.1, XP_036008341.1, XP_036008365.1, XP_036008364.1, XP_036008321.1, NP_001371171.1
OG0000000	XP_005085706.2	NP_001020334.1
OG0000000	XP_040590281.1, XP_040590282.1	NP_690027.1
OG0000000	XP_021078768.2	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1
OG0000000	XP_021078895.1	NP_808557.2
OG0000000	XP_040589935.1	NP_001020099.1, XP_006540216.1
OG0000000	XP_040592164.1	NP_001345745.1
OG0000001	XP_040597963.1	NP_001186952.1
OG0000001	XP_040597954.1	NP_808567.2
OG0000001	XP_012976937.1	NP_001020121.2, XP_006524318.1
OG0000001	XP_040598214.1, XP_040591117.1	NP_941021.1
OG0000001	XP_012981991.2, XP_012981549.1, XP_040589839.1, XP_021084573.2, XP_040596870.1, XP_040598213.1, XP_040597186.1, XP_040597891.1, XP_040598120.1	NP_001365582.1, XP_030098763.1, NP_001030065.1, NP_001170996.1
OG0000001	XP_040606170.1	NP_001349294.1
