Orthogroup	Mesocricetus_auratus	Myotis_lucifugus
OG0000000	XP_040590578.1	XP_023599356.1, XP_023599350.1
OG0000000	XP_040589832.1	XP_023620736.1
OG0000000	XP_012980823.1	XP_023616360.1
OG0000000	XP_040590281.1, XP_040590282.1	XP_023618147.1
OG0000000	XP_021078768.2	XP_014319713.1
OG0000000	XP_021078895.1	XP_023616328.1, XP_006098666.1
OG0000000	XP_040613645.1	XP_023599537.1, XP_023599527.1, XP_023604378.1
OG0000000	XP_040589935.1	XP_006109488.2, XP_023604206.1
OG0000000	XP_040592164.1	XP_006107371.2
OG0000001	XP_012976937.1	XP_023602735.1
OG0000002	XP_005083422.1, XP_005083421.1	XP_006106210.1, XP_006107454.1, XP_006109070.1, XP_006107515.1, XP_006107514.1, XP_006099747.1, XP_006099742.1, XP_006106211.1, XP_006106209.1, XP_006107119.1, XP_006107121.1, XP_006107120.1, XP_006107453.1, XP_006106212.1, XP_023619081.1, XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1
OG0000003	XP_005086737.1	XP_006106487.1
OG0000003	XP_005066534.1	XP_006105897.1
OG0000003	XP_040611612.1	XP_006105754.1
OG0000004	XP_040608137.1	XP_006095377.1
OG0000004	XP_005066507.1	XP_023602434.1
OG0000004	XP_021091122.2	XP_014316718.2
OG0000004	XP_021091115.2	XP_006095233.1
OG0000005	XP_005079738.2	XP_006101362.1, XP_006101381.1
OG0000005	XP_021088443.2, XP_040610223.1	XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1
OG0000005	XP_005079742.2, XP_040611146.1	XP_006101391.1, XP_006109268.1
OG0000005	XP_012975766.3, XP_005079740.2	XP_006101365.1
OG0000005	XP_005079741.1	XP_006101366.1, XP_006101367.1
OG0000005	XP_005079743.1	XP_006101368.1
OG0000006	XP_040589604.1	XP_023606226.1, XP_023601033.1, XP_023611373.1, XP_023602675.1, XP_023605007.1, XP_023605031.1, XP_023620624.1, XP_023606225.1, XP_023603621.1, XP_023602676.1, XP_023602721.1, XP_023607947.1, XP_023605259.1, XP_023604781.1
OG0000006	XP_040597031.1	XP_023607122.1, XP_023611083.1
OG0000006	XP_040597264.1	XP_023604080.1, XP_014306381.1, XP_014307657.2, XP_014305168.1, XP_023604957.1, XP_023604864.1
OG0000008	XP_005085123.2	XP_023603086.1, XP_023603088.1, XP_023609052.1
OG0000008	XP_012981311.2	XP_023608739.1
OG0000008	XP_012965907.1	XP_006101245.1
OG0000008	XP_040607222.1	XP_014318909.1
OG0000008	XP_005080013.1	XP_023617197.1
OG0000008	XP_040589595.1	XP_023616724.1
OG0000008	XP_005076380.2, XP_021086449.1, XP_040592559.1	XP_023618878.1
OG0000009	XP_040596996.1, XP_040588386.1, XP_040597078.1, XP_040588058.1, XP_040588055.1, XP_040597080.1, XP_040597074.1, XP_040588524.1, XP_040588391.1, XP_040597180.1, XP_040588465.1, XP_040588202.1, XP_040588464.1, XP_040588388.1	XP_023603920.1, XP_023603918.1
OG0000010	XP_005065035.2	XP_014313946.1
OG0000010	XP_040600849.1	XP_006091995.1
OG0000010	XP_005065034.1, XP_012975523.2	XP_006092150.1
OG0000011	XP_040597859.1	XP_006109699.2
OG0000011	XP_040597868.1	XP_006086528.1
OG0000011	XP_040597855.1	XP_023607814.1
OG0000011	XP_040597852.1	XP_006086520.1
OG0000011	XP_040597857.1, XP_040597858.1	XP_023607813.1
OG0000011	XP_040597867.1	XP_006086527.1
OG0000011	XP_040597854.1	XP_023607816.1
OG0000011	XP_005139286.1	XP_006086523.2
OG0000011	XP_040597863.1	XP_006109698.1
OG0000011	XP_040597860.1	XP_006086525.1
OG0000011	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1	XP_006086526.1
OG0000011	XP_040597853.1	XP_006086677.1
OG0000012	XP_005088691.1	XP_006085710.1
OG0000012	XP_005080125.1	XP_014308586.1, XP_006085739.1, XP_006085740.1, XP_014308590.1
OG0000012	XP_021088650.1, XP_005080130.1	XP_006085738.1
OG0000012	XP_040599889.1, XP_040599760.1, XP_040599888.1	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1
OG0000013	XP_040591191.1	XP_006102505.1
OG0000015	XP_040593112.1, XP_012976898.1, XP_021087015.1	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1
OG0000015	XP_005077393.1	XP_014323262.2
OG0000017	XP_005076922.1	XP_014315670.1
OG0000018	XP_005069967.1	XP_014301359.1
OG0000018	XP_012966031.1, XP_021080732.2, XP_021079072.2, XP_021080731.2	XP_006095231.1
OG0000019	XP_040600867.1, XP_040600868.1, XP_005064844.1, XP_005064843.1, XP_005064848.1, XP_005064585.1, XP_005064847.1, XP_005064584.1	XP_006087592.3
OG0000019	XP_005064850.1	XP_006087532.1
OG0000019	XP_005064849.1	XP_006087533.1
OG0000019	XP_005064841.2	XP_014310270.1
OG0000020	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1, XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1	XP_023620544.1, XP_023603758.1, XP_023602862.1, XP_023602866.1, XP_023602864.1, XP_014304919.1, XP_014322076.2
OG0000020	XP_021090982.1	XP_023602217.1
OG0000020	XP_040589773.1, XP_040589996.1	XP_023605092.1, XP_023604823.1, XP_023602216.1, XP_023603178.1, XP_023603171.1, XP_023603172.1, XP_014304057.1, XP_014304063.1, XP_023602220.1
OG0000022	XP_012968143.1	XP_006086666.1
OG0000022	XP_012968137.1	XP_006086504.1
OG0000022	XP_040597834.1	XP_023607764.1
OG0000022	XP_012968139.1	XP_006086502.1
OG0000022	XP_012968141.1	XP_006086509.1
OG0000022	XP_012968138.2	XP_006086507.3
OG0000022	XP_040597837.1	XP_006086508.2
OG0000022	XP_040597835.1	XP_023607849.1
OG0000022	XP_040597836.1	XP_023607811.1
OG0000022	XP_040597838.1	XP_023607808.1
OG0000023	XP_021090051.1	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2
OG0000026	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1	XP_006087848.1, XP_006087846.2
OG0000026	XP_012973615.1	XP_023612671.1
OG0000027	XP_005070529.1	XP_006082612.1
OG0000027	XP_040609793.1	XP_006109687.1, XP_006085845.1
OG0000027	XP_040593732.1	XP_006085609.1
OG0000027	XP_040611487.1	XP_023609366.1
OG0000027	XP_040599534.1	XP_014320502.1
OG0000027	XP_040609790.1	XP_006099372.1, XP_006091577.1
OG0000027	XP_040609794.1	XP_006091578.1
OG0000028	XP_005063306.1, XP_005063857.1	XP_014313930.1, XP_006092090.1
OG0000029	XP_040606242.1, XP_040606301.1, XP_005076843.2	XP_014316275.1
OG0000031	XP_005067750.1	XP_006100279.1
OG0000032	XP_040597878.1	XP_023607827.1
OG0000032	XP_040597879.1	XP_023607823.1
OG0000032	XP_040597875.1	XP_023607821.1
OG0000032	XP_040597870.1	XP_023607820.1
OG0000032	XP_040597872.1	XP_023607822.1
OG0000032	XP_040597871.1	XP_023607826.1
OG0000033	XP_005070271.1	XP_006108023.2
OG0000033	XP_012968934.1	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1
OG0000033	XP_040605960.1	XP_014304527.1
OG0000035	XP_040601947.1, XP_012975185.1	XP_023608661.1
OG0000035	XP_005063733.1	XP_006096684.1
OG0000035	NP_001268524.1, XP_012975858.1	XP_006093229.1
OG0000035	XP_040606104.1	XP_006107764.1
OG0000035	XP_005065601.1	XP_023604685.1
OG0000035	XP_005071114.1	XP_006096839.1
OG0000036	XP_005063672.1	XP_006090066.1
OG0000038	XP_012975442.1, XP_005065093.1, XP_005065094.1, XP_005065098.1, XP_021089454.1, XP_012975394.1	XP_006108449.1
OG0000039	XP_040611731.1	XP_014308601.2
OG0000039	XP_005081404.1	XP_006101176.1
OG0000039	XP_005073218.1	XP_023602750.1
OG0000039	XP_040588788.1	XP_023600742.1
OG0000040	XP_005066964.1, XP_040608727.1, XP_040608728.1, XP_005067235.1, XP_005066965.1	XP_014313682.1, XP_006091633.1
OG0000041	XP_005065090.1	XP_006091988.2
OG0000041	XP_005065092.1, XP_021088661.1, XP_005065087.2, XP_012976050.1	XP_014313940.2, XP_006092121.1
OG0000042	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1, XP_021090424.2, XP_012978311.3, XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1
OG0000043	XP_040589229.1, XP_005075826.2, XP_005075768.1, XP_012972964.1, XP_012972963.1, XP_012972962.2, XP_040589196.1, XP_040589194.1, XP_005075767.1, XP_005075778.1, XP_005075769.1, XP_040589195.1, XP_040589266.1	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1
OG0000044	XP_040611632.1, XP_021080739.1, XP_040611628.1	XP_014303412.1
OG0000044	XP_040608140.1, XP_040599370.1	XP_006105773.1
OG0000044	XP_012981124.1	XP_014303302.1
OG0000044	XP_021080738.1	XP_023614983.1
OG0000045	XP_012967012.1	XP_023619132.1
OG0000045	XP_005067661.2	XP_023619120.1
OG0000045	XP_005067663.2	XP_006099789.1, XP_023619123.1
OG0000045	XP_040604829.1	XP_023619122.1, XP_006099792.1
OG0000045	XP_040604830.1	XP_023619124.1
OG0000046	XP_040593590.1, XP_040593589.1, XP_005083451.1, XP_005083446.1, XP_040594995.1	XP_023619063.1
OG0000048	XP_005086519.2, XP_005086487.1	XP_006102709.1, XP_014323472.2, XP_023604189.1
OG0000048	XP_040590516.1, XP_040590186.1, XP_040590252.1	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1
OG0000049	XP_012970837.1	XP_006091104.2
OG0000049	XP_040598230.1, XP_005075263.2, XP_040598231.1	XP_006082070.1
OG0000049	XP_005066586.2, XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1, XP_040587835.1	XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1
OG0000051	XP_040589515.1	XP_014309680.1
OG0000051	XP_040609155.1	XP_023614891.1
OG0000051	XP_040589514.1	XP_014309679.1
OG0000051	XP_012977763.1	XP_023614431.1
OG0000051	XP_040609153.1, XP_040609154.1	XP_023615229.1, XP_006108950.2
OG0000051	XP_005082522.1	XP_006082308.1
OG0000052	XP_040592338.1	XP_014306145.2, XP_014314626.1
OG0000052	XP_021078671.1, XP_012966499.1, XP_040610156.1, XP_040592247.1	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1
OG0000054	XP_012976161.1	XP_006108306.2, XP_023604128.1, XP_014305777.1
OG0000055	XP_005075773.1, XP_005075776.1, XP_005075775.1, XP_005075770.1	XP_006089756.1
OG0000055	XP_021086135.2, XP_012972950.1	XP_006089754.1
OG0000056	XP_005065047.1, XP_005065036.1, XP_005065037.1, XP_005065048.1	XP_006091994.1
OG0000057	XP_040609095.1, XP_040609094.1, XP_040609097.1	XP_023618012.1
OG0000057	XP_040609083.1	XP_023617871.1
OG0000058	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1	XP_006107133.1
OG0000059	XP_005076799.1, XP_040606237.1, XP_012973635.3, XP_005076844.2, XP_005076797.1, XP_012973648.1, XP_040606244.1, XP_012973632.1, XP_005076796.1, XP_040606246.1, XP_040606247.1	XP_006094765.2
OG0000060	XP_012980426.1, XP_040608584.1, XP_012980427.1	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1
OG0000061	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1	XP_023608990.1, XP_014310721.2, XP_014310723.1
OG0000062	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1
OG0000063	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1	XP_023611602.1
OG0000064	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1
OG0000065	XP_005139289.2, XP_040602518.1, XP_040608744.1	XP_014303917.1, XP_006083485.1
OG0000068	XP_012966146.1	XP_006092084.1, XP_006092085.1, XP_006092083.1
OG0000069	XP_040596557.1, XP_040596556.1, XP_040596558.1	XP_006095089.1
OG0000069	XP_005139384.2	XP_023608740.1
OG0000069	XP_012982640.1	XP_006087768.1, XP_006087769.1
OG0000069	XP_005086454.1	XP_006097691.1
OG0000069	XP_005068441.1	XP_006100567.3
