Orthogroup	Myotis_lucifugus	Canis_lupus_familiaris
OG0000000	XP_023599350.1	XP_038384579.1
OG0000000	XP_023620736.1	XP_038383925.1, XP_038383888.1
OG0000000	XP_023610099.1, XP_023610100.1, XP_006109159.1, XP_023610093.1, XP_023610091.1, XP_023610090.1, XP_023610092.1, XP_023610098.1, XP_023610096.1, XP_023610102.1, XP_023611398.1	XP_038381458.1, XP_038383850.1, XP_038381459.1, XP_038383856.1
OG0000000	XP_023616360.1	XP_038385033.1
OG0000000	XP_023618147.1	XP_038385116.1
OG0000000	XP_006098677.1	XP_038385096.1
OG0000000	XP_014319713.1	XP_038385069.1
OG0000000	XP_023616328.1	XP_038381488.1
OG0000000	XP_006098666.1	XP_038385089.1
OG0000000	XP_023604378.1	XP_038383515.1
OG0000000	XP_006109488.2, XP_023604206.1	XP_038383541.1
OG0000000	XP_006107371.2	XP_038411812.1
OG0000001	XP_014303641.1	XP_038423095.1
OG0000002	XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1	XP_038421296.1
OG0000002	XP_006099744.1	XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1
OG0000002	XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1	NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1
OG0000002	XP_006108663.1, XP_006106497.1, XP_014321261.1, XP_006106784.1, XP_006100410.1, XP_006106501.1, XP_014321263.1, XP_006106783.1, XP_006108546.2, XP_014304154.1, XP_014304155.1, XP_014304265.1, XP_006106494.1	NP_001375833.1
OG0000003	XP_006106487.1	XP_038440279.1
OG0000003	XP_006105901.1	XP_038440297.1
OG0000003	XP_006105754.1	XP_038440305.1
OG0000003	XP_006105894.1	XP_038418004.1, XP_038418006.1, XP_038418005.1
OG0000004	XP_023602427.1, XP_006105755.1, XP_014303408.1, XP_006105904.1	XP_038440340.1
OG0000004	XP_006095377.1	XP_038418000.1
OG0000004	XP_014316718.2	XP_038418001.1
OG0000004	XP_006095233.1	XP_038418002.1
OG0000005	XP_006101362.1, XP_006101381.1	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1
OG0000005	XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1	NP_001375871.1, XP_038444903.1, NP_001376078.1
OG0000005	XP_006101378.1	NP_001375861.1, XP_038444905.1, NP_001376081.1
OG0000005	XP_006101368.1	NP_001376104.1
OG0000006	XP_023607122.1, XP_023611083.1	XP_038444719.1, XP_038394754.1, XP_038406796.1, XP_038444716.1, XP_038428904.1, XP_038385483.1, XP_038415095.1, XP_038407547.1, XP_038444756.1, XP_038421308.1
OG0000006	XP_023611739.1	XP_038400303.1, XP_038400305.1, XP_038400304.1
OG0000008	XP_023603086.1, XP_023603088.1	XP_038383866.1
OG0000008	XP_023609052.1	XP_038409055.1
OG0000008	XP_023608739.1	XP_038444566.1
OG0000008	XP_006090633.1	XP_038443189.1, XP_038443224.1
OG0000008	XP_014318909.1	XP_038445242.1
OG0000008	XP_023617197.1	XP_038395427.1
OG0000008	XP_023616724.1	XP_038443214.1
OG0000008	XP_023618878.1	XP_038394427.1
OG0000009	XP_023603895.1, XP_006108147.1, XP_023603897.1, XP_023604454.1, XP_023605044.1, XP_023604763.1, XP_023604764.1, XP_023603922.1, XP_006108085.1, XP_014304586.1, XP_006109548.2, XP_014304465.1, XP_014306514.2, XP_006103427.2, XP_023603919.1, XP_023604980.1, XP_014304469.1, XP_023603555.1, XP_014304476.1, XP_023603920.1, XP_023603918.1, XP_023603634.1, XP_006108930.2, XP_014305975.1, XP_014304594.1, XP_014305051.1, XP_023604586.1, XP_023603595.1, XP_023604095.1	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1
OG0000010	XP_014313946.1	NP_001375563.1
OG0000010	XP_006091995.1	XP_038418409.1, NP_001375564.1
OG0000011	XP_006109699.2	XP_038386314.1
OG0000011	XP_006086528.1	XP_038386305.1
OG0000011	XP_023607814.1	XP_038386315.1
OG0000011	XP_006086520.1	XP_038386324.1
OG0000011	XP_006086527.1	XP_038386312.1
OG0000011	XP_006109698.1	XP_038386308.1
OG0000011	XP_023607817.1	XP_038386303.1
OG0000011	XP_006086526.1	XP_038386309.1
OG0000011	XP_014309297.1	XP_038386325.1
OG0000011	XP_006086677.1	XP_038386316.1
OG0000012	XP_006085710.1	XP_038443043.1, XP_038443045.1, XP_038443044.1
OG0000012	XP_006085742.1	NP_001003116.1
OG0000012	XP_014308588.1, XP_006085741.1	XP_038442406.1, XP_038442407.1
OG0000012	XP_014308590.1	XP_038442409.1
OG0000012	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1	XP_038442408.1, XP_038442410.1
OG0000013	XP_006102505.1	XP_038421256.1
OG0000013	XP_006102520.1	NP_001375605.1
OG0000013	XP_006102519.1, XP_014323272.1	NP_001375609.1
OG0000014	XP_023604382.1	XP_038383510.1
OG0000014	XP_006103440.2	XP_038383493.1
OG0000014	XP_023604027.1, XP_014304991.1, XP_014304989.1	XP_038383498.1, XP_038383503.1
