Orthogroup	Microcebus_murinus	Myotis_lucifugus
OG0000000	XP_012616738.1	XP_023599350.1
OG0000000	XP_020138819.1, XP_012626318.1, XP_012641044.1, XP_012613266.1, XP_012628339.1, XP_012628337.1, XP_012613289.1	XP_023620736.1
OG0000000	XP_012630310.1	XP_023616360.1
OG0000000	XP_012630387.1	XP_023618147.1
OG0000000	XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1	XP_006098677.1
OG0000000	XP_012630372.1	XP_014319713.1
OG0000000	XP_012630285.2	XP_023616328.1
OG0000000	XP_012630378.1	XP_006098666.1
OG0000000	XP_012606846.2	XP_023604378.1
OG0000000	XP_012604505.1, XP_012613248.1	XP_006109488.2, XP_023604206.1
OG0000000	XP_012615665.1	XP_006107371.2
OG0000001	XP_012646003.1, XP_012645977.2	XP_023602735.1
OG0000001	XP_012645964.1	XP_014301019.2, XP_006103138.1, XP_006104610.1, XP_014303641.1, XP_006103139.1, XP_014301016.2, XP_006103137.3, XP_006109167.1, XP_023600179.1, XP_023600175.1, XP_014301002.2, XP_014302358.1
OG0000002	XP_012645796.1	XP_006106210.1, XP_006107454.1, XP_006109070.1, XP_006107515.1, XP_006107514.1, XP_006099747.1, XP_006099742.1, XP_006106211.1, XP_006106209.1, XP_006107119.1, XP_006107121.1, XP_006107120.1, XP_006107453.1, XP_006106212.1, XP_023619081.1
OG0000002	XP_020139519.1, XP_012646004.2, XP_020139359.1	XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1
OG0000003	XP_012596788.1	XP_023602528.1, XP_006105761.1, XP_014303297.1, XP_006106487.1, XP_006105897.1, XP_023602527.1
OG0000003	XP_012596787.1	XP_006105901.1
OG0000003	XP_012597512.1	XP_006105754.1
OG0000003	XP_012609570.1	XP_006095234.1, XP_006105894.1
OG0000004	XP_012597450.1	XP_014303408.1, XP_006105904.1
OG0000004	XP_012609566.1	XP_006095377.1
OG0000004	XP_012597515.1, XP_012596777.1, XP_012597453.1, XP_012597452.1	XP_014303409.1
OG0000004	XP_012609567.1	XP_014316718.2
OG0000004	XP_012609568.1	XP_006095233.1
OG0000005	XP_012610257.1	XP_006101362.1, XP_006101381.1
OG0000005	XP_020143017.1	XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1
OG0000005	XP_012609942.2	XP_006101391.1, XP_006109268.1
OG0000005	XP_012610321.1	XP_006101365.1
OG0000005	XP_012610295.1	XP_006101366.1, XP_006101367.1
OG0000005	XP_012609915.1	XP_006101378.1
OG0000005	XP_012609981.1	XP_006101368.1
OG0000006	XP_012632903.1	XP_023606226.1, XP_023601033.1, XP_023611373.1, XP_023602675.1, XP_023605007.1, XP_023605031.1, XP_023620624.1, XP_023606225.1, XP_023603621.1, XP_023602676.1, XP_023602721.1, XP_023607947.1, XP_023605259.1, XP_023604781.1
OG0000006	XP_012625684.2, XP_012601742.1, XP_012606863.1, XP_012595831.2, XP_012596629.2, XP_012616975.2, XP_012609122.2, XP_020143214.1	XP_023611739.1
