Orthogroup	Sus_scrofa	Sarcophilus_harrisii
OG0000000	XP_020953205.1	XP_031812992.1
OG0000000	XP_020952941.1, XP_020952927.1, XP_020952925.1	XP_031817705.1
OG0000000	XP_013844747.1, XP_005653629.1	XP_031810195.1, XP_031823895.1, XP_023359536.1
OG0000000	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1, XP_005664948.2, XP_020952815.1, XP_020952850.1, XP_013853826.1, XP_020950760.1, XP_020952794.1, XP_013853905.1, XP_020952895.1, XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1, XP_020950037.1, XP_005664614.2	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1
OG0000000	XP_020952983.1, XP_020953072.1, XP_020952989.1, XP_020950733.1, XP_003481363.2	XP_031800804.1
OG0000001	XP_020940803.1, XP_020939397.1, XP_013846094.1, XP_020939404.1, XP_020939396.1, XP_020939408.1, XP_003354140.1, XP_020939542.1, XP_005652869.1	XP_031815742.1
OG0000002	XP_003123502.2, XP_003123457.2, XP_020937693.1, XP_020937428.1, XP_020937989.1, XP_020937422.1, XP_020937698.1, XP_020940765.1, XP_020940766.1, XP_003123429.1, XP_003123435.1, XP_005661279.1, XP_003123450.2, XP_020937687.1, XP_003480815.2, XP_003123451.2, XP_003123462.2, XP_020937696.1, XP_003123498.3, XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1, XP_020942029.1, XP_020942026.1, XP_020942027.1	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2
OG0000003	XP_020954093.1	XP_031824341.1
OG0000003	XP_020939042.1	XP_003769950.1
OG0000003	XP_020945588.1	XP_012404136.1, XP_003770776.2
OG0000003	XP_003356615.2, XP_020955505.1, XP_020955504.1, XP_020955502.1	XP_031823293.1
OG0000004	XP_001927727.1	XP_003768759.1
OG0000004	XP_020945584.1	XP_003769951.1
OG0000004	XP_013853268.2, XP_013852658.1	XP_012405154.1
OG0000004	XP_001925399.1	XP_003768752.1
OG0000005	XP_001926317.2, XP_001927079.3, XP_020937464.1, XP_020937465.1, XP_020947415.1, XP_020936943.1, XP_020937078.1, XP_020938015.1, XP_020936944.1, XP_020937461.1, XP_020936946.1, XP_020937462.1, XP_020937074.1, XP_020936920.1, XP_020937580.1, XP_020946884.1, XP_020947426.1, XP_003126291.3, XP_020947416.1, XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2, XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3, XP_020937075.1, XP_013843745.2, XP_003135548.3, XP_013853068.2, XP_020937937.1, XP_003355500.2, XP_020937458.1, XP_013839577.1	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3
OG0000006	XP_020922897.1, XP_020939871.1	XP_031814102.1, XP_031814100.1
OG0000007	XP_020953242.1, XP_020953230.1, XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1, XP_013854178.1, XP_020953225.1, XP_020953224.1, XP_020953226.1	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3
OG0000008	XP_020950594.1, XP_005660392.2	XP_031806199.1
OG0000008	XP_020935751.1	XP_023362616.1, XP_031800616.1
OG0000008	XP_020936063.1, XP_013841559.2	XP_023355868.1, XP_012401259.1
OG0000008	XP_020941711.1, XP_005653115.2, XP_005653113.1, XP_013838698.1, XP_020928282.1, XP_020928288.1, XP_013846325.1, XP_020949541.1	XP_023361210.2, XP_031794448.1
OG0000009	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2
OG0000010	XP_020937683.1, XP_020937114.1, XP_020937016.1, XP_020937352.1, XP_020937349.1, XP_020938008.1, XP_005654730.1, XP_013834759.1, XP_020940399.1	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1
OG0000011	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3
OG0000016	NP_001159792.1, NP_001123710.1, NP_001158316.1, NP_001123704.1, NP_001158324.1, NP_001124005.1, NP_001158322.1, NP_001159794.1, NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1
OG0000017	XP_003124707.3	XP_012398581.1
OG0000017	XP_003123527.1	XP_003761039.1, XP_003761040.1, XP_003761048.1, XP_012397839.1, XP_012397826.1, XP_012397828.1, XP_031804001.1, XP_003763139.2, XP_012397824.1, XP_012397821.1, XP_012397829.1, XP_031806752.1, XP_003763137.1, XP_012397822.1, XP_003761034.1, XP_003761036.2, XP_003761037.1, XP_031806708.1, XP_012399622.1, XP_012397827.1, XP_003763235.1, XP_031806810.1, XP_003763234.1, XP_012397825.1
OG0000017	XP_020944074.1	XP_023358579.1
OG0000017	XP_020923327.1	XP_003775021.1
OG0000017	XP_020937884.1	XP_003758428.1, XP_003758978.1, XP_003759273.1
OG0000018	XP_003131242.1	XP_031822886.1
OG0000018	XP_020945585.1	XP_031801759.1
OG0000018	NP_001231571.1	XP_023358477.2
OG0000019	XP_001925185.1, XP_001925102.1, XP_020955677.1, XP_003128820.2, XP_003128642.2, XP_001929464.2, XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2, XP_001927961.2, XP_020954986.1	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2
OG0000019	XP_020955724.1	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2
OG0000019	XP_020955678.1, XP_020955671.1, XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2	XP_031805360.1
OG0000021	XP_003354452.1	XP_003765334.1, XP_003765337.2
OG0000021	XP_020940742.1, XP_020940741.1, XP_003123614.1, XP_003123600.1, XP_013850061.1	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1
OG0000022	XP_020940822.1, XP_020940823.1, XP_020940587.1, XP_020940825.1, XP_020940824.1, XP_020940585.1, XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1, XP_013850731.2, XP_020940579.1	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1
OG0000023	XP_020950604.1	XP_031819147.1, XP_031817546.1, XP_031817545.1
OG0000023	XP_013854134.1	XP_031819158.1
OG0000024	XP_020958344.1, XP_003130048.2	XP_003764405.1
OG0000024	XP_020958343.1, XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1
OG0000026	XP_020935542.1, XP_020936182.1, XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1	XP_012397681.1, XP_012397680.1, XP_012397682.1
OG0000027	XP_001928370.3	XP_003765946.1
OG0000027	XP_013843702.1	XP_023360032.2, XP_031820681.1
OG0000027	XP_003126645.3	XP_023360426.1
OG0000027	XP_020929709.1	XP_031804908.1
OG0000027	XP_001928233.2	XP_012401810.1
OG0000028	XP_013849769.1, XP_013849748.1, XP_013849745.1, XP_013849747.1, XP_020941125.1, XP_013849750.2, XP_003353904.1	XP_003774032.2
OG0000029	XP_020937119.1, XP_020926346.1, XP_003358892.1, XP_020925487.1, XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2	XP_003766414.1
OG0000031	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1	XP_012404307.1
OG0000031	XP_003123608.1	XP_003770492.1
OG0000031	XP_003128324.2, XP_003128312.2, XP_020937570.1, XP_020937437.1, XP_001928461.1, XP_020955480.1, XP_020955487.1, XP_001927473.2, XP_001927458.2, XP_020936656.1, XP_020955482.1, XP_020937362.1, XP_020936658.1, XP_020955481.1, XP_020936659.1, XP_020955484.1, XP_020955485.1, XP_003482184.1, XP_003123597.1, XP_003480794.1, XP_013847497.1	XP_003765338.1, XP_012400082.1, XP_031817645.1
OG0000032	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1
OG0000033	NP_001231232.1, XP_020922339.1, XP_020922337.1	XP_012403541.1
OG0000033	XP_005668681.1	XP_023358276.2
OG0000035	NP_001163988.1	XP_003756019.1
OG0000035	NP_001161267.1	XP_003767872.1
OG0000035	XP_013838976.1	XP_031812849.1, XP_031812848.1, XP_031812850.1
OG0000035	XP_003124328.1	XP_003761602.1
OG0000035	XP_003357976.1	XP_031821487.1
OG0000035	XP_005674537.3	XP_003759426.1
OG0000035	XP_020943030.1	XP_031805495.1
OG0000036	NP_001302663.1, NP_999579.1, XP_020927835.1	XP_031812610.1, XP_031812613.1, XP_031812612.1, XP_031812611.1, XP_003754959.1, XP_003754958.1, XP_031812533.1, XP_031812108.1
OG0000036	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1	XP_003755303.1, XP_003755291.1
OG0000039	NP_001230363.1	XP_031802795.1
OG0000039	XP_020955779.1	XP_003760265.2
OG0000039	NP_001038077.1	XP_003768941.1
OG0000039	XP_003122400.2	XP_003757584.1
OG0000039	XP_003480860.1	XP_031803594.1
OG0000039	NP_001107168.1	XP_031807551.1
OG0000039	XP_020951690.1	XP_003760117.1
OG0000041	XP_013843095.2, XP_013842752.2, XP_020940716.1	XP_023362197.2, XP_031799550.1
OG0000042	XP_013849950.2	XP_031798147.1
OG0000044	XP_020955509.1	XP_023353357.1
OG0000044	XP_020955506.1, XP_020945589.1, XP_020954094.1, XP_005665718.2	XP_012405112.1
OG0000044	XP_020955508.1	XP_031801760.1
OG0000045	XP_013836784.2	XP_003759383.1
OG0000045	XP_020921943.1	XP_031821400.1
OG0000045	XP_020921928.1	XP_003759381.1
OG0000045	XP_020921875.1, NP_999301.1	XP_031821396.1
OG0000045	XP_020921694.1, NP_001116613.1	XP_031821399.1
OG0000046	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1, XP_003123481.1, XP_003123482.1, XP_020939257.1, XP_020939261.1	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1
OG0000048	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1, XP_020953209.1, XP_020953207.1	XP_012402396.1
OG0000049	XP_020955073.1, XP_020955736.1, XP_020955074.1, XP_020929837.1	XP_003756342.1, XP_031808465.1
OG0000050	XP_003122186.1, XP_020931565.1, XP_020931552.1, XP_020941061.1, XP_020931504.1, XP_020937924.1, XP_020940885.1, XP_001926789.1, XP_020941065.1, XP_020937929.1, XP_020937899.1, XP_020937887.1, XP_020937921.1, XP_020937915.1, XP_003122180.1, XP_003353698.3, XP_003122193.2, XP_003122195.1, XP_001927196.5, XP_020931440.1, XP_020937889.1, XP_013849280.2, XP_020940908.1, XP_020931499.1, XP_020941107.1, XP_020931536.1, XP_020937916.1, XP_020937891.1, XP_020940988.1, XP_020937893.1, XP_013849275.1, XP_003353699.2, XP_020937927.1, XP_020931467.1, XP_013849276.2, XP_003122183.3, XP_020937911.1, XP_020937926.1	XP_023363165.1
