Orthogroup	Rattus_norvegicus	Urocitellus_parryii
OG0000000	XP_008757184.1, NP_001017512.2	XP_026259515.1
OG0000000	XP_063138925.1, XP_063138926.1, NP_001388796.1, XP_006227880.2, NP_001396202.1, XP_017446703.2, XP_063138922.1, NP_001333356.1, XP_063129853.1, NP_001333357.1, NP_001395830.1, XP_006232167.1, NP_001395828.1, NP_001132963.1, XP_038957792.1, NP_775436.2, NP_001389009.1	XP_026247644.1, XP_026237883.1, XP_026257775.1
OG0000000	NP_001128198.1, XP_038944205.1	XP_026262699.1
OG0000000	XP_008757455.1, XP_006228826.1, XP_006228825.1, XP_006228824.1	XP_026237210.1
OG0000000	NP_001094461.1, XP_038943235.1	XP_026237216.1
OG0000000	XP_063133243.1	XP_026237455.1
OG0000000	XP_006228251.1, NP_001008557.1	XP_026237090.1, XP_026237089.1
OG0000000	XP_063119671.1, NP_001387994.1	XP_026265638.1
OG0000001	XP_063118998.1	XP_026237610.1
OG0000001	NP_001103147.2	XP_026237585.1, XP_026236579.1, XP_026237586.1, XP_026237910.1, XP_026235726.1
OG0000001	NP_001128033.2, XP_017450288.1	XP_026245818.1, XP_026245589.1, XP_026245763.1, XP_026245594.1, XP_026245673.1, XP_026245671.1, XP_026245675.1, XP_026245672.1, XP_026245636.1, XP_026245635.1
OG0000001	NP_001396167.1	XP_026245661.1, XP_026255633.1, XP_026255459.1
OG0000002	NP_997480.2, NP_001000941.1	XP_026238504.1, XP_026238350.1, XP_026238584.1
OG0000003	NP_001396017.1	XP_026263461.1, XP_026270378.1, XP_026270377.1
OG0000003	NP_001396026.1	XP_026263459.1
OG0000003	NP_001403243.1	XP_026237648.1
OG0000003	NP_001395954.1	XP_026270402.1, XP_026263464.1
OG0000003	NP_001104597.1	XP_026237966.1
OG0000003	NP_001103111.1	XP_026237965.1
OG0000003	NP_001102870.1	XP_026270399.1, XP_026270385.1
OG0000004	NP_001102893.1	XP_026238606.1
OG0000004	NP_001100824.1	XP_026263455.1
OG0000004	NP_001302422.1	XP_026238610.1
OG0000004	NP_001104811.1	XP_026259837.1
OG0000004	NP_001103080.1	XP_026269954.1
OG0000004	NP_001395771.1	XP_026259838.1
OG0000005	NP_001000060.1	XP_026237754.1, XP_026236696.1
OG0000005	NP_001000587.1, NP_001001360.1, NP_001000703.1	XP_026254205.1
OG0000005	NP_001000056.1	XP_026254208.1
OG0000005	NP_001006597.1, NP_001001357.2, NP_001410141.1, XP_056840442.1, NP_001382514.1	XP_026237752.1, XP_026254204.1
OG0000005	NP_001000061.1	XP_026254194.1
OG0000005	NP_001000055.1	XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1
OG0000006	XP_063120688.1, XP_063120689.1, XP_063120693.1, XP_063120692.1, XP_063120691.1, XP_063120732.1, XP_063120731.1, XP_063120734.1, XP_063120733.1, XP_063120690.1, XP_063120687.1, XP_063120686.1	XP_026270592.1
OG0000006	XP_038956947.1, XP_038969294.2, XP_063120484.1, XP_038956651.1, XP_063136755.1, XP_063141299.1, XP_038959293.1, XP_063118789.1, XP_063136877.1, XP_063136617.1, XP_063132198.1	XP_026245409.1, XP_026268252.1, XP_026238327.1, XP_026265281.1, XP_026251594.1, XP_026268248.1, XP_026250486.1, XP_026263551.1, XP_026238340.1, XP_026237231.1, XP_026236588.1, XP_026240291.1, XP_026267714.1, XP_026260361.1
OG0000006	XP_063136870.1, XP_063141386.1, XP_063118827.1, XP_063144593.1, XP_063144737.1, XP_063135728.1, XP_063122471.1, XP_063120526.1, XP_063136637.1, XP_063122436.1, XP_063129788.1, XP_063138919.1, XP_063138801.1, XP_063138800.1, XP_063120507.1, XP_063128749.1, XP_063118653.1, XP_063136520.1, XP_063138765.1, XP_063144646.1, XP_063130967.1, XP_063132935.1, XP_063132936.1, XP_063138932.1, XP_063138931.1, XP_063131938.1, XP_063131939.1, XP_063132126.1, XP_063129896.1, XP_063138877.1, XP_063142959.1, XP_038956440.2, XP_063133756.1, XP_063138828.1, XP_063129865.1, XP_063130926.1, XP_063133785.1, XP_063127951.1, XP_063120511.1, XP_038962176.2, XP_063136784.1, XP_063122429.1	XP_026238559.1
OG0000007	XP_038953247.1, XP_038953242.1, XP_038953239.1	XP_026235558.1, XP_026235559.1
OG0000007	NP_001009510.1	XP_026237661.1, XP_026237675.1, XP_026237678.1, XP_026238595.1, XP_026238594.1, XP_026238338.1, XP_026238538.1, XP_026237663.1, XP_026238337.1, XP_026237676.1, XP_026237677.1, XP_026237662.1, XP_026237660.1, XP_026237659.1
OG0000007	NP_001008907.1, NP_001009512.1, XP_017446036.1, NP_001008905.1, NP_001009514.1, NP_001009526.2, XP_038952937.1, XP_038952929.1, XP_038952945.1, NP_001008946.1, NP_001008952.1, XP_063136835.1, NP_001008953.1, XP_006228226.1, XP_038953103.1, XP_038953124.1, XP_038953132.1, XP_038953067.1, NP_001395759.1, XP_038953164.1	XP_026238376.1, XP_026237658.1, XP_026238331.1, XP_026238375.1
OG0000008	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1	XP_026237845.1, XP_026249121.1
OG0000008	XP_017457697.2	XP_026268615.1
OG0000008	XP_008757447.1, XP_008757448.1, XP_017445996.1	XP_026235043.1
OG0000008	XP_006248929.1, NP_001178593.1	XP_026262971.1
OG0000008	XP_221917.5, NP_001414121.1	XP_026262968.1
OG0000008	NP_001100474.2	XP_026237339.1, XP_026262695.1
OG0000008	NP_001020936.1, XP_063134265.1	XP_026260312.1
OG0000009	NP_001161825.1	XP_026237619.1
OG0000010	NP_001000513.1, NP_001001064.1	XP_026235016.1
OG0000010	XP_038962000.1, NP_001000627.1	XP_026235001.1
OG0000010	NP_001000359.1	XP_026237833.1, XP_026234999.1, XP_026235002.1
