Orthogroup	Myotis_lucifugus	Saimiri_boliviensis_boliviensis
OG0000000	XP_023599350.1	XP_039322266.1
OG0000000	XP_023620736.1	XP_039322567.1, XP_039322569.1, XP_039322564.1, XP_039322566.1, XP_039336058.1, XP_010330281.2, XP_039322557.1, XP_039322576.1, XP_039322556.1, XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1
OG0000000	XP_023610099.1, XP_023610100.1, XP_006109159.1, XP_023610093.1, XP_023610091.1, XP_023610090.1, XP_023610092.1, XP_023610098.1, XP_023610096.1, XP_023610102.1, XP_023611398.1	XP_010338946.1
OG0000000	XP_023616360.1	XP_010346300.1
OG0000000	XP_023618147.1	XP_010346293.1
OG0000000	XP_006098677.1	XP_039322936.1
OG0000000	XP_014319713.1	XP_010346294.1
OG0000000	XP_023616328.1	XP_039321322.1
OG0000000	XP_006098666.1	XP_010346296.1
OG0000000	XP_023604378.1	XP_010330198.2
OG0000000	XP_006109488.2, XP_023604206.1	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1
OG0000000	XP_006107371.2	XP_010328112.1
OG0000001	XP_023602735.1	XP_010327802.1, XP_003941872.2
OG0000001	XP_014301019.2, XP_006103138.1, XP_006104610.1, XP_014303641.1, XP_006103139.1, XP_014301016.2, XP_006103137.3, XP_006109167.1, XP_023600179.1, XP_023600175.1, XP_014301002.2, XP_014302358.1	XP_003941798.2
OG0000002	XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1	XP_003941738.1, XP_003941737.1
OG0000003	XP_023602528.1, XP_006105761.1, XP_014303297.1, XP_006106487.1, XP_006105897.1, XP_023602527.1	XP_039318518.1
OG0000003	XP_006105901.1	XP_003927316.2
OG0000003	XP_006105754.1	XP_003927328.1
OG0000003	XP_006095235.1, XP_006095234.1, XP_006105894.1	XP_010328072.1
OG0000004	XP_006105904.1	XP_039318562.1
OG0000004	XP_014303409.1	XP_003944860.1
OG0000004	XP_014316718.2	XP_003942031.1
OG0000004	XP_006095233.1	XP_003942032.1
OG0000005	XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1	XP_039328185.1
OG0000008	XP_023609052.1	XP_003925271.2
OG0000008	XP_023608739.1	XP_010330062.1, XP_003943915.1
OG0000008	XP_006090633.1	XP_010348446.1, XP_010348453.2
OG0000008	XP_014318909.1	XP_010343119.1, XP_010343120.1
OG0000008	XP_023617197.1	XP_003934299.1
OG0000008	XP_023616724.1	XP_003939553.1
OG0000008	XP_023618878.1	XP_003936386.1
OG0000010	XP_014313946.1	XP_003920483.3
OG0000010	XP_006091995.1	XP_003920480.2
OG0000011	XP_006109699.2	XP_039316746.1
OG0000011	XP_006086528.1	XP_010340082.2
OG0000011	XP_023607814.1	XP_039326277.1
OG0000011	XP_006086520.1	XP_039326275.1
OG0000011	XP_023607813.1	XP_039328082.1, XP_039328036.1
OG0000011	XP_023607816.1	XP_039316705.1, XP_039327835.1
OG0000011	XP_006086523.2	XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1
OG0000011	XP_006109698.1	XP_039328029.1
OG0000011	XP_006086525.1	XP_039328885.1
OG0000011	XP_023607817.1	XP_039326453.1
OG0000011	XP_006086526.1	XP_010340091.2
OG0000011	XP_014309297.1	XP_039328900.1
OG0000011	XP_006086677.1	XP_010340171.2
OG0000012	XP_006085710.1	XP_003924128.1
OG0000012	XP_006085742.1	XP_003924126.1
OG0000012	XP_014308588.1, XP_006085741.1	XP_010333223.1
OG0000012	XP_014308590.1	XP_003924124.1
OG0000012	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2
OG0000012	XP_006088682.1	XP_010334984.1
OG0000013	XP_006102505.1	XP_003938964.1
OG0000014	XP_023604382.1	XP_039321716.1
OG0000014	XP_006103440.2	XP_039322204.1
OG0000014	XP_023604027.1, XP_014304991.1, XP_014304989.1	XP_003944064.3, XP_010330201.2, XP_039322778.1
OG0000014	XP_014301260.1, XP_006103437.2	XP_039322215.1, XP_010330682.2, XP_010330643.2, XP_010330639.1, XP_003944452.2
OG0000015	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1	XP_003938968.2
OG0000016	XP_006109610.1, XP_023605073.1, XP_006108782.1, XP_006098173.1, XP_006108783.1, XP_006098177.1, XP_006098175.1, XP_006098178.1, XP_006098179.1, XP_014319259.1, XP_006098180.1	XP_003928173.1
OG0000018	XP_014301359.1	XP_003931776.1
OG0000018	XP_006095231.1	XP_039316138.1, XP_003942033.1
OG0000018	XP_014303293.1, XP_014303295.1, XP_006105758.1	XP_039318517.1
OG0000018	XP_006091951.1, XP_006100057.1, XP_006086104.1, XP_023605537.1, XP_014303528.1	XP_039324008.1, XP_010350016.2
OG0000019	XP_014310270.1	XP_003935822.1
OG0000022	XP_006086666.1	XP_010336464.1
OG0000022	XP_006086504.1	XP_039328169.1
OG0000022	XP_014306348.1, XP_006086506.1	XP_039328208.1
OG0000022	XP_023607764.1	XP_010339946.2
OG0000022	XP_006086502.1	XP_003920570.1
OG0000022	XP_006086509.1	XP_010336450.2
OG0000022	XP_006086507.3	XP_010336498.1
OG0000022	XP_006086508.2	XP_010336445.2
OG0000022	XP_023607849.1	XP_003920574.1
OG0000022	XP_023607811.1	XP_010336467.2
OG0000022	XP_023607808.1	XP_039328577.1
OG0000023	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2	XP_039322918.1
OG0000023	XP_023604190.1, XP_023603927.1, XP_023603928.1, XP_023604191.1, XP_023603352.1, XP_023603924.1, XP_023603082.1, XP_023603926.1, XP_023603070.1, XP_023603925.1, XP_023603081.1, XP_014306037.1, XP_014305934.1, XP_023605242.1	XP_010330421.2
OG0000023	XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3	XP_039322035.1
OG0000023	XP_014304275.2	XP_003944291.1
