Orthogroup	Saimiri_boliviensis_boliviensis	Mesocricetus_auratus
OG0000000	XP_039322266.1	XP_040590578.1
OG0000000	XP_039322567.1, XP_039322569.1, XP_039322564.1, XP_039322566.1, XP_039336058.1, XP_010330281.2, XP_039322557.1, XP_039322576.1, XP_039322556.1, XP_039322514.1, XP_039322513.1, XP_010330414.1, XP_039322572.1, XP_039322571.1, XP_010330277.1, XP_010330278.1	XP_040589832.1
OG0000000	XP_039324031.1, XP_039321673.1, XP_039321400.1, XP_010330711.2, XP_039321425.1, XP_039321418.1, XP_039321412.1, XP_039320155.1, XP_010331289.2, XP_039323208.1, XP_010334138.2, XP_010331230.1, XP_039321404.1, XP_039316661.1, XP_010331229.1, XP_039321397.1, XP_039321411.1, XP_039335007.1, XP_039318893.1	XP_005069759.1
OG0000000	XP_010346300.1	XP_012980823.1
OG0000000	XP_003944077.1	XP_005085706.2
OG0000000	XP_010346293.1	XP_040590281.1, XP_040590282.1
OG0000000	XP_010346294.1	XP_021078768.2
OG0000000	XP_039321322.1, XP_010346296.1	XP_021078895.1
OG0000000	XP_039321949.1, XP_010330198.2	XP_040613645.1
OG0000000	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1	XP_040589935.1
OG0000000	XP_010328112.1	XP_040592164.1
OG0000001	XP_003941813.1, XP_003941806.1, XP_010327794.1, XP_010327790.1, XP_010327793.1, XP_039322483.1, XP_010327802.1, XP_003941872.2, XP_003941814.1, XP_010327783.1, XP_039322280.1	XP_012976937.1
OG0000001	XP_010327863.1	XP_012974810.3
OG0000001	XP_039321661.1	XP_012981467.1
OG0000002	XP_003941738.1, XP_003941737.1	XP_005083422.1, XP_005083421.1
OG0000003	XP_039318518.1	XP_005086745.1, XP_005086737.1, XP_005066534.1
OG0000003	XP_010331013.1, XP_039318670.1	XP_040611624.1
OG0000003	XP_010331015.1	XP_040611622.1
OG0000003	XP_003942039.2	XP_021091128.1
OG0000003	XP_003927328.1	XP_040611612.1
OG0000003	XP_003935362.1	XP_012967010.1
OG0000003	XP_010344148.1	XP_005067770.2
OG0000003	XP_003944862.1, XP_003944864.1	XP_021079067.1
OG0000004	XP_003927315.1	XP_040611617.1, XP_040611614.1, XP_040611615.1
OG0000004	XP_003927325.1	XP_040611618.1
OG0000004	XP_003935360.1	XP_005067769.1
OG0000004	XP_003942031.1	XP_021091122.2
OG0000004	XP_003934600.1	XP_005072949.1
OG0000004	XP_003942032.1	XP_021091115.2
OG0000005	XP_039328185.1	XP_021088443.2, XP_040610223.1
OG0000007	XP_039321715.1	XP_005087808.1, XP_040590162.1, XP_005087807.2
OG0000007	XP_039321697.1	XP_005086773.1, XP_012981157.2, XP_040589756.1, XP_005087922.1
OG0000008	XP_003925271.2	XP_005085123.2
OG0000008	XP_010330062.1, XP_003943915.1	XP_012981311.2
OG0000008	XP_010343119.1, XP_010343120.1	XP_040607222.1
OG0000008	XP_003934299.1	XP_005080013.1
