Orthogroup	Rattus_norvegicus	Homo_sapiens
OG0000000	XP_008757184.1, NP_001017512.2	NP_001375102.1, NP_001375106.1, NP_057003.2, NP_001375105.1, NP_001375104.1, NP_001139692.1, NP_001027546.1, NP_001375103.1, NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1
OG0000000	XP_063133080.1	NP_001309054.1, NP_001309055.1, XP_047295761.1
OG0000000	NP_001395762.1	XP_047272426.1, NP_001265594.1, XP_047294753.1, NP_001243101.1, XP_011513906.2, XP_047295611.1, XP_016864080.1, NP_001164376.1, NP_612203.2, XP_047294335.1, NP_001092096.1, XP_016881603.1, NP_001264332.1, NP_689839.1, NP_848653.2, NP_001230967.1, NP_001342333.1, NP_067092.2
OG0000000	NP_001414718.1, XP_063143066.1	NP_065864.2
OG0000000	NP_001128198.1, XP_038944205.1	NP_001138815.1
OG0000000	XP_008757455.1, XP_006228826.1, XP_006228825.1, XP_006228824.1	NP_694989.2, NP_001229729.1, NP_001229730.1, NP_001229731.1, NP_996777.2, XP_047294754.1
OG0000000	NP_001094461.1, XP_038943235.1	NP_001284548.1
OG0000000	XP_006255213.1	NP_001307595.1, NP_001308846.1
OG0000000	XP_063133243.1	NP_775819.1, NP_001291264.1, NP_001291266.1, NP_001291265.1, NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1
OG0000000	XP_006228251.1, NP_001008557.1	NP_001308285.1
OG0000000	XP_063119671.1, NP_001387994.1	NP_001336738.1
OG0000001	XP_063124294.1	NP_079243.1
OG0000001	NP_001103147.2	NP_001284497.1
OG0000001	NP_001128033.2, XP_017450288.1	NP_660338.1, NP_003428.1, NP_001129973.1, NP_660276.2, XP_047294275.1, XP_016882684.1, NP_001073873.2, NP_066966.2, XP_005259787.1, NP_689569.2, NP_001073962.1, NP_001157748.1, NP_110451.1, NP_660319.1
OG0000001	NP_001396167.1	NP_066358.2, NP_065765.1, NP_659413.1, NP_079080.2, XP_047295678.1, NP_149990.1, NP_699189.2, NP_689814.1
OG0000001	XP_063138867.1	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1, NP_001189335.1, NP_115886.1, NP_001189336.1
OG0000002	NP_997480.2, NP_001000941.1	NP_001005190.1, NP_112163.1
OG0000003	NP_001396017.1	NP_001368918.1
OG0000003	NP_072173.2	NP_003517.2
OG0000003	NP_001395777.1	NP_003510.1
OG0000003	NP_001403243.1	NP_003518.2, NP_003515.1, NP_001019770.1, NP_001154806.1
OG0000003	NP_001395954.1	NP_059141.1, XP_006723981.1, NP_066406.1, NP_003511.1
OG0000003	NP_001101884.1	NP_066407.1, NP_619790.1, XP_005249096.2
OG0000003	NP_001103111.1	NP_778225.1
OG0000003	NP_001102870.1	NP_542160.1, NP_066402.2, NP_001299582.1
OG0000004	NP_001395861.1, NP_001102893.1	NP_066390.1
OG0000004	NP_068612.2	NP_254280.1
OG0000004	NP_001302422.1	NP_003507.1
OG0000004	NP_001104811.1	NP_778235.1
OG0000004	NP_001103080.1	NP_808760.1
OG0000004	NP_001395771.1	NP_003508.1
OG0000005	NP_001000060.1	NP_473446.1
OG0000005	NP_001000075.1	NP_001005519.2
OG0000006	XP_063120688.1, XP_063120689.1, XP_063120693.1, XP_063120692.1, XP_063120691.1, XP_063120732.1, XP_063120731.1, XP_063120734.1, XP_063120733.1, XP_063120690.1, XP_063120687.1, XP_063120686.1	XP_047289367.1
OG0000007	XP_038953247.1, XP_038953242.1, XP_038953239.1	NP_065684.1
OG0000008	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1	NP_001269444.1
OG0000008	XP_017457697.2	NP_001129745.1
OG0000008	XP_008757447.1, XP_008757448.1, XP_017445996.1	NP_001275729.1
OG0000008	XP_006248929.1, NP_001178593.1	NP_001191385.1, NP_066986.1
OG0000008	XP_221917.5, NP_001414121.1	NP_057349.2, NP_008887.2
OG0000008	NP_001100474.2	NP_001310956.1, NP_001121695.1, NP_001277137.1, NP_001277138.1, XP_011531546.1
OG0000008	NP_001163875.1, XP_038945496.1, XP_063122443.1, XP_008764233.1, XP_038956806.1, XP_008757500.1	XP_047298751.1, NP_001310955.1, NP_001277139.1, NP_001310957.1
OG0000008	XP_063136497.1	NP_003437.2
OG0000008	NP_001020936.1, XP_063134265.1	XP_016878441.1
OG0000010	NP_001000513.1, NP_001001064.1	NP_001005275.2
OG0000010	NP_001000359.1	NP_001005272.3, NP_001005274.1
OG0000010	NP_001001067.1	NP_001005512.2
OG0000011	NP_001395834.1	NP_061992.3, NP_061753.1
OG0000011	XP_001055818.2	NP_061763.1
OG0000011	NP_001102593.2	NP_061759.1
OG0000011	NP_001102865.1	NP_061757.1
OG0000011	NP_001395838.1	NP_061754.1, NP_061755.1
OG0000011	NP_001014783.1	NP_061760.2
OG0000011	NP_001014804.1	NP_061993.3, NP_061756.1
OG0000011	NP_001391845.1	NP_066008.2
OG0000011	NP_001108074.2, NP_001102860.1, NP_001395766.1	NP_061761.1
OG0000011	NP_001395844.1	NP_001290074.1, NP_061762.2
OG0000011	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2	NP_056484.2
OG0000011	NP_001403744.1	NP_061758.1
OG0000012	NP_001037711.1, XP_063136102.1	NP_775970.2
OG0000012	XP_003752106.1	NP_001373794.1, XP_011543815.1, NP_002356.2
OG0000012	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1
OG0000013	NP_001000881.1	NP_001001958.1
OG0000014	XP_006228239.1, XP_008757305.3, NP_001178549.1	NP_060349.1
OG0000014	XP_038956264.1	NP_001010879.2
OG0000015	NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1, XP_038938790.1, XP_002729926.5	XP_047294550.1
OG0000016	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1	NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2
OG0000017	NP_999990.1, NP_001006598.1, NP_001403703.1, NP_775455.1, NP_999987.1, NP_999989.1, NP_001000494.1, XP_038942452.1, NP_001000980.1, NP_001000529.2, NP_999988.1, NP_001000858.1, NP_999995.1, NP_001000979.1, NP_001000857.1, XP_063124604.1, NP_999996.1, XP_063124601.1, NP_999992.1, NP_999993.1, XP_063124602.1, NP_001000523.1, NP_999994.1, NP_001000978.1, XP_017452546.1, NP_999991.1	NP_001357568.2
OG0000017	NP_001000387.1, NP_064491.1	NP_036495.1
OG0000018	NP_001389154.1	NP_002098.1, NP_001365976.1, NP_001365975.1
OG0000018	XP_063133017.1	NP_066403.2
OG0000018	XP_063133018.1	NP_001005464.1
OG0000018	NP_001395691.1	NP_001363866.1, NP_003520.1
OG0000018	NP_001103112.1	NP_003484.1
OG0000019	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1
OG0000019	NP_001000601.1, NP_001000376.1	NP_001005326.1
OG0000020	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1	NP_001291386.2, NP_001347096.1, NP_001307889.1, NP_036408.4, NP_001277199.1, NP_006857.2, NP_001124389.2, XP_047294068.1, NP_001277200.1, XP_047294036.1, NP_001075106.2, NP_005865.3, NP_001265333.2, NP_006854.1, NP_006856.3
OG0000020	NP_001070261.1, XP_008757210.1	NP_871714.1, NP_067073.1
OG0000021	NP_001000557.1	NP_112208.1
OG0000022	XP_008770293.3	NP_061740.2
OG0000022	NP_001032230.1	NP_061737.1
OG0000022	NP_001032414.1	NP_003726.1
OG0000022	XP_038953329.1	NP_061742.1
OG0000022	NP_001014773.1	NP_061743.1
OG0000022	NP_001032235.1	NP_061744.1
OG0000022	NP_001032233.1	NP_114477.1
OG0000022	NP_001032212.1	NP_061736.1
OG0000022	NP_001032214.1	NP_061741.1
OG0000022	NP_001032217.1	NP_061735.1
OG0000022	NP_001032216.1	NP_061738.1
OG0000022	NP_001032231.1	NP_061739.2
OG0000023	XP_017445590.1, NP_001388743.1	NP_001763.3, XP_011525833.1
OG0000023	XP_056841157.1	NP_443729.1, NP_201586.1, NP_055200.1, XP_011525023.1, XP_011525036.1, NP_055257.2, NP_001185487.1, XP_011525034.1
OG0000024	NP_775152.2, NP_001000517.1, NP_001000518.1, NP_001000463.1, NP_001000800.1, NP_001000801.1, XP_063122016.1	NP_001002905.1, NP_001005198.2
OG0000026	XP_006257363.1, NP_001102791.1	NP_001164491.1, NP_689636.3, XP_011529158.1
OG0000027	XP_063123300.1	XP_047301630.1
OG0000027	NP_001011995.1	NP_116093.1
OG0000027	XP_063119450.1	NP_001290044.1, NP_001290045.1, NP_001290046.1
OG0000027	NP_001019510.1	NP_061816.1
OG0000027	NP_001099588.1, XP_063132306.1	NP_079079.1
OG0000027	NP_001019507.1	NP_525125.2, NP_005992.1
OG0000027	NP_071634.1	NP_001257328.1
OG0000028	XP_063126169.1, NP_001000756.1, NP_001001019.1, XP_003749122.1, NP_001000754.1, NP_001000758.1, XP_038952475.1, NP_001000556.1, NP_001396078.1	NP_001005469.1
OG0000028	XP_003749125.1	NP_001005489.1
OG0000028	NP_001000255.1	NP_001005566.1
OG0000029	NP_001000725.1, NP_001001009.1, NP_001000049.1	NP_001005517.1
OG0000029	NP_001000046.1, NP_001000047.1, NP_001000045.1, NP_001000048.1, NP_001000531.1	NP_001005516.1
OG0000031	NP_001001097.1	NP_001004492.1
OG0000031	NP_068632.1	NP_149046.2
OG0000032	NP_446385.1	NP_061730.1
OG0000033	XP_038942584.1, NP_001192277.1	XP_005257047.1, NP_009192.2
OG0000033	NP_001160049.1, XP_038942799.1	NP_852114.2
OG0000033	NP_001161136.1	NP_777552.3, XP_005257084.1
OG0000033	XP_017452644.1, NP_001020282.1	XP_047291363.1, NP_620587.2
OG0000034	NP_714951.2, XP_038964991.1, NP_001009515.1, XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1, XP_038964452.1, NP_001009531.1, NP_001009519.1, NP_001009523.1, XP_038964987.1, NP_001395783.1, NP_001008970.1, XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1, XP_038964442.1, NP_001008906.1, XP_038964435.1, NP_001008912.2, NP_001009513.1, NP_001009521.1, NP_001009520.1, NP_001009518.2	NP_776257.1
OG0000035	NP_062056.1	NP_001393411.1
OG0000035	NP_062085.1	NP_001091.1
OG0000035	NP_112266.1	NP_001135417.1
OG0000035	NP_112406.1	NP_001092.1
OG0000035	NP_001120921.1	NP_001605.1
OG0000035	NP_001099879.1	NP_001017992.1
OG0000035	NP_037025.1, XP_006236790.1	NP_001606.1
OG0000036	NP_001406456.1, NP_001258283.1, XP_008758586.2, NP_062057.2	NP_000763.1
OG0000038	XP_038961558.1, NP_001000677.1, NP_001000931.1, NP_001000682.1, XP_063140372.1	NP_001005202.1
OG0000039	NP_001013908.2	NP_821080.1
OG0000039	NP_001102589.1	NP_001060.1
OG0000039	NP_775125.1	NP_821133.1
