Orthogroup	Homo_sapiens	Sus_scrofa
OG0000000	NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1	XP_020953205.1
OG0000000	NP_001372545.1, XP_047294716.1, NP_001372541.1, NP_001372540.1, NP_001372547.1, NP_001372543.1, NP_001372542.1, NP_001372544.1, NP_001372538.1, NP_001372539.1, NP_001372546.1	XP_020952941.1, XP_020952927.1
OG0000000	NP_001340387.1	XP_020952925.1
OG0000000	NP_001381102.1	XP_013844747.1, XP_005653629.1
OG0000000	NP_001308920.1, NP_001287922.1	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1
OG0000000	NP_065864.2	XP_005664948.2
OG0000000	NP_001138815.1	XP_020952850.1
OG0000000	NP_001035939.1	XP_013853826.1
OG0000000	NP_653291.1, NP_001307300.2	XP_020950760.1
OG0000000	NP_694989.2	XP_020952794.1
OG0000000	NP_001284548.1	XP_013853905.1
OG0000000	NP_001307595.1	XP_020952895.1
OG0000000	NP_001308846.1	XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1
OG0000000	NP_848639.2	XP_020950037.1
OG0000000	NP_116078.4	XP_005664614.2
OG0000000	NP_775819.1	XP_020953072.1
OG0000000	NP_001291264.1, NP_001291266.1, NP_001291265.1, NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1	XP_020952989.1
OG0000000	NP_001308285.1	XP_020950733.1
OG0000000	NP_001336738.1	XP_003481363.2
OG0000001	NP_079243.1	XP_020940803.1
OG0000001	NP_659413.1	XP_013846094.1, XP_020939404.1, XP_020939396.1, XP_020939408.1, XP_003354140.1, XP_020939542.1
OG0000002	NP_001005190.1, NP_112163.1	XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1
OG0000003	NP_003509.1	XP_020955495.1
OG0000003	NP_001368918.1	XP_020955500.1
OG0000003	NP_003518.2	XP_020955503.1
OG0000003	NP_001019770.1, NP_001154806.1	XP_020945586.1
OG0000003	NP_066406.1	XP_020954093.1
OG0000003	NP_066407.1	NP_001230585.1
OG0000003	XP_005249096.2	XP_001927974.2
OG0000003	NP_778225.1	XP_020939042.1
OG0000003	NP_003519.1	XP_003355262.2, XP_013852659.1, XP_020945588.1
OG0000003	NP_066402.2	XP_020955502.1
OG0000004	NP_066408.1	XP_001927727.1
OG0000004	NP_003501.1	XP_020955498.1
OG0000004	NP_003504.2, NP_066390.1	XP_020954090.1
OG0000004	NP_254280.1	XP_020939041.1
OG0000004	NP_003503.1	XP_020954091.1
OG0000004	NP_542163.1	XP_001928592.1
OG0000004	NP_778235.1	XP_020945584.1
OG0000004	NP_808760.1	XP_013853268.2
OG0000004	NP_003508.1	XP_013852658.1
OG0000004	NP_734466.1	XP_001925399.1
OG0000005	NP_473446.1	XP_001926317.2
OG0000005	NP_001005519.2	XP_001927079.3, XP_020937464.1, XP_020937465.1, XP_020947415.1, XP_020936943.1, XP_020937078.1, XP_020938015.1, XP_020936944.1, XP_020937461.1, XP_020936946.1, XP_020937462.1, XP_020937074.1, XP_020936920.1, XP_020937580.1, XP_020946884.1, XP_020947426.1, XP_003126291.3, XP_020947416.1
OG0000008	NP_001269444.1	XP_005660392.2
OG0000008	NP_001129745.1	XP_020935751.1
OG0000008	NP_001123370.1, NP_001034980.1	XP_020936063.1, XP_013841559.2
OG0000008	NP_001191385.1, NP_066986.1	XP_020941711.1, XP_005653115.2
OG0000008	NP_057349.2, NP_008887.2	XP_005653113.1
OG0000008	NP_001311180.1, XP_011517958.1, NP_003412.1, NP_001311179.1, NP_001311178.1, NP_001311177.1, NP_001311176.1, NP_001311175.1, NP_001311174.1, NP_001171572.1, NP_001007095.1	XP_013838698.1
OG0000008	NP_003437.2	XP_013846325.1
OG0000008	XP_016878441.1	XP_020949541.1
OG0000009	NP_001229971.1, NP_002108.4, XP_054186779.1, NP_005505.2, XP_041536702.1, NP_002107.3, NP_001229687.1, NP_001350496.1, XP_054186575.1, XP_016866296.1, NP_005507.3	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1
OG0000010	NP_001005512.2	XP_005654730.1, XP_013834759.1, XP_020940399.1
OG0000011	NP_061992.3, NP_061753.1, NP_061763.1, NP_061759.1, NP_061757.1, NP_061754.1, NP_061755.1, NP_061760.2, NP_061993.3, NP_061756.1, NP_066008.2, NP_061761.1, NP_001290074.1, NP_061762.2, NP_056484.2, NP_061758.1	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1
OG0000012	NP_775970.2	XP_020935452.1
OG0000012	NP_872312.2	XP_005673570.1, XP_005673569.1
OG0000012	NP_001373794.1, XP_011543815.1, NP_002356.2	XP_020935940.1, XP_013841481.1, XP_005673575.1
OG0000012	NP_001258681.1	XP_020936276.1
OG0000012	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1	XP_005673573.2, XP_020935939.1, XP_005673577.2
OG0000013	NP_001001958.1	XP_013845988.1
OG0000013	NP_001005192.2	XP_005652899.1, XP_020941163.1, XP_013845748.1, XP_005652900.2, XP_003123350.2, XP_020940780.1
OG0000014	NP_001277247.1	XP_020952950.1
OG0000014	NP_001019767.1	XP_020952996.1
OG0000014	NP_079109.2	XP_013854335.1
OG0000014	NP_003426.3	XP_020953001.1
OG0000014	NP_775902.2, NP_001317546.1, NP_001166244.1	XP_020952965.1, XP_020952964.1
OG0000014	XP_047294519.1	XP_020952978.1, XP_020952973.1
OG0000014	NP_060349.1	XP_020952999.1
OG0000014	NP_001363152.1, NP_001138461.1, XP_047295265.1, XP_005259324.1, NP_079038.2, NP_001303957.1, NP_001303959.1, XP_016881793.1, NP_001303956.1, NP_001303958.1, NP_597717.1, NP_116217.1, XP_047294178.1, NP_775903.3	XP_020950801.1
OG0000014	NP_005764.2	XP_020953042.1, XP_020953041.1
OG0000014	NP_001252526.1	XP_013854327.1
OG0000015	XP_047294550.1	XP_013842894.1, XP_013845829.1, XP_020940790.1, XP_020941167.1, XP_003480831.2, XP_003354129.2, XP_020937619.1, XP_020941170.1, XP_013846032.2, XP_020940791.1, XP_020938068.1, XP_020937479.1, XP_020938121.1, XP_020937971.1, XP_005652904.2, XP_020936681.1, XP_020937393.1, XP_020938165.1, XP_020938164.1, XP_013845905.2, XP_020937394.1, XP_003123316.2, XP_020940783.1, XP_020937482.1, XP_020938126.1, XP_020938163.1, XP_020937401.1
OG0000016	NP_002168.1	NP_001123710.1, NP_001158316.1, NP_001123704.1, NP_001158324.1, NP_001124005.1, NP_001158322.1, NP_001159794.1
OG0000016	NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1
OG0000017	NP_001357568.2	XP_003124707.3
OG0000017	NP_036495.1	XP_020937884.1
OG0000018	NP_002098.1, NP_001365976.1, NP_001365975.1	XP_003131242.1
OG0000018	NP_066403.2	NP_001231571.1
OG0000018	NP_066298.1, NP_003521.2, NP_003526.1, NP_001368928.1, NP_003525.1, NP_003524.1, NP_001363866.1, NP_003520.1, NP_003523.1, NP_003527.1, NP_003528.1	NP_001274345.1
OG0000018	NP_003484.1	XP_013844399.1
OG0000019	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1	XP_001927961.2, XP_020954986.1
OG0000019	NP_001005326.1	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2
OG0000021	NP_112208.1	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1
OG0000021	NP_001004732.2	XP_013850061.1
OG0000022	NP_061740.2	XP_020940822.1
OG0000022	NP_061742.1	XP_020940823.1
OG0000022	NP_061743.1	XP_020940587.1
OG0000022	NP_114477.1	XP_020940825.1, XP_020940824.1
OG0000022	NP_061741.1	XP_020940585.1
OG0000022	NP_061735.1	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1
OG0000022	NP_061738.1	XP_013850731.2
OG0000022	NP_061739.2	XP_020940579.1
OG0000023	NP_001763.3, XP_011525833.1	XP_020950504.1
OG0000023	XP_047293947.1, NP_001092082.1	XP_003127440.3
OG0000023	NP_003821.1	XP_003127434.1
OG0000023	NP_443729.1, NP_201586.1, NP_055200.1, XP_011525023.1, XP_011525036.1, NP_055257.2, NP_001185487.1, XP_011525034.1	XP_020950600.1
OG0000023	XP_011525835.1, NP_001236.4	XP_013850544.2
OG0000024	NP_001002905.1, NP_001005198.2	XP_020958344.1, XP_003130048.2
OG0000026	NP_001164491.1, NP_689636.3, XP_011529158.1	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1
OG0000027	XP_047301630.1	XP_001928370.3
OG0000027	NP_116093.1	XP_013843702.1
OG0000027	NP_001290044.1, NP_001290045.1, NP_001290046.1	XP_005655606.1
OG0000027	NP_061816.1	XP_003126645.3
OG0000027	NP_079079.1	XP_020920717.1
OG0000027	NP_997195.2, NP_525125.2, NP_005992.1	XP_020929709.1
OG0000027	NP_006073.2	NP_001302639.1
OG0000028	NP_001005469.1	XP_013849769.1
OG0000028	NP_001005489.1	XP_020941125.1
OG0000028	NP_001005566.1	XP_013849750.2, XP_003353904.1
OG0000029	NP_001004737.1, NP_001004736.2	XP_020937119.1, XP_020926346.1, XP_003358892.1
OG0000029	NP_001005517.1	XP_020925487.1
OG0000029	NP_001005516.1	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2
OG0000031	NP_001004492.1	XP_003123608.1
OG0000031	NP_001005226.1	XP_003128324.2, XP_003128312.2, XP_020937570.1, XP_020937437.1, XP_001928461.1
OG0000031	NP_149046.2	XP_020955480.1
OG0000031	NP_036499.1	XP_020955487.1
OG0000031	NP_001001915.1	XP_003480794.1
OG0000031	NP_001013373.1	XP_013847497.1
OG0000033	NP_006669.1, XP_016879522.1	NP_001231232.1
OG0000033	XP_005257047.1, NP_009192.2	XP_020922339.1, XP_020922337.1
OG0000033	NP_001311002.1, NP_001392440.1	XP_003131278.3
OG0000033	NP_777552.3, XP_005257084.1	XP_005668688.1
OG0000033	XP_047291363.1, NP_620587.2	XP_005668681.1
OG0000034	NP_776257.1	XP_013842957.2
OG0000035	NP_001393411.1	NP_001163988.1
OG0000035	NP_001091.1	NP_001161267.1
OG0000035	NP_001135417.1	XP_013838976.1
OG0000035	NP_001092.1	XP_003124328.1, XP_020941706.1
OG0000035	NP_001186883.1, NP_001605.1	XP_003357976.1
OG0000035	NP_001017992.1	XP_005674537.3
OG0000035	NP_001606.1	XP_020943030.1
OG0000036	NP_001185784.1, NP_001185782.1, NP_001185783.1, NP_000761.3, NP_000760.1, NP_000762.2	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1
OG0000038	NP_001005202.1	XP_001927724.1, XP_020941136.1, XP_003481008.2
OG0000039	NP_821080.1	NP_001230363.1
OG0000039	NP_001060.1	XP_020955779.1
OG0000039	NP_821133.1	NP_001038077.1
OG0000039	NP_006079.1	XP_003122400.2
OG0000039	NP_001276052.1	XP_003480860.1
OG0000039	XP_016883574.1, NP_110400.1	NP_001107168.1
