Orthogroup	Saimiri_boliviensis_boliviensis	Rattus_norvegicus
OG0000000	XP_039322266.1	XP_008757184.1, NP_001017512.2
OG0000000	XP_010330281.2	XP_063133080.1
OG0000000	XP_039324031.1, XP_039321673.1, XP_039321400.1, XP_010330711.2, XP_039321425.1, XP_039321418.1, XP_039321412.1, XP_039320155.1, XP_010331289.2, XP_039323208.1, XP_010334138.2, XP_010331230.1, XP_039321404.1, XP_039316661.1, XP_010331229.1, XP_039321397.1, XP_039321411.1, XP_039335007.1, XP_039318893.1	NP_001395762.1
OG0000000	XP_003944077.1	NP_001414718.1, XP_063143066.1
OG0000000	XP_010346293.1	NP_001128198.1, XP_038944205.1
OG0000000	XP_010346287.1, XP_003937452.1, XP_003937459.2	XP_008757455.1, XP_006228826.1, XP_006228825.1, XP_006228824.1
OG0000000	XP_010346294.1	NP_001094461.1, XP_038943235.1
OG0000000	XP_039321322.1, XP_010346296.1	XP_006255213.1
OG0000000	XP_039321949.1, XP_010330198.2	XP_063133243.1
OG0000000	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1	XP_006228251.1, NP_001008557.1
OG0000000	XP_010328112.1	XP_063119671.1, NP_001387994.1
OG0000001	XP_003938840.1	XP_063124294.1
OG0000001	XP_003941813.1, XP_003941806.1, XP_010327794.1, XP_010327790.1, XP_010327793.1, XP_039322483.1, XP_010327802.1, XP_003941872.2, XP_003941814.1, XP_010327783.1, XP_039322280.1	NP_001128033.2, XP_017450288.1
OG0000001	XP_003942369.1, XP_003941797.1, XP_003941798.2, XP_039322643.1, XP_039322614.1	NP_001396167.1
OG0000001	XP_039321661.1	XP_063138867.1
OG0000002	XP_003941738.1, XP_003941737.1	NP_997480.2, NP_001000941.1
OG0000003	XP_039318518.1	NP_001396017.1, XP_063132502.1
OG0000003	XP_010336292.1	NP_001100822.1
OG0000003	XP_039318519.1	NP_001396026.1
OG0000003	XP_010331013.1, XP_039318670.1, XP_010331015.1, XP_003942039.2	NP_001403243.1
OG0000003	XP_003927328.1, XP_003944786.1	NP_001395954.1
OG0000003	XP_003935362.1	NP_001104597.1
OG0000003	XP_010344148.1	NP_001103111.1
OG0000003	XP_003944862.1, XP_003944864.1	NP_001102870.1
OG0000004	XP_003927315.1	NP_001395680.1, NP_001395861.1, NP_001102893.1
OG0000004	XP_003927325.1	NP_001100824.1
OG0000004	XP_003935360.1	NP_068612.2
OG0000004	XP_003942031.1	NP_001104811.1
OG0000004	XP_003934600.1	NP_001103080.1
OG0000004	XP_003942032.1	NP_001395771.1
OG0000005	XP_039328185.1	NP_001001365.1, NP_001000938.1, NP_001001382.1, NP_001001385.1, NP_001001361.1
OG0000007	XP_039321715.1	XP_038953247.1, XP_038953242.1, XP_038953239.1
OG0000007	XP_039321697.1	NP_001009510.1
OG0000008	XP_003925271.2	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1
OG0000008	XP_010330062.1, XP_003943915.1	XP_017457697.2
OG0000008	XP_010343119.1, XP_010343120.1	XP_006248929.1, NP_001178593.1
OG0000008	XP_003934299.1	XP_221917.5, NP_001414121.1
OG0000008	XP_003939553.1	XP_063136497.1
OG0000008	XP_003936386.1	NP_001020936.1, XP_063134265.1
OG0000010	XP_003920483.3	NP_001000513.1, NP_001001064.1
OG0000010	XP_003920480.2	XP_038962000.1, NP_001000627.1
OG0000010	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2	NP_001000359.1
OG0000011	XP_039316464.1, XP_039327340.1	NP_001395834.1
OG0000011	XP_039316746.1	XP_001055818.2
OG0000011	XP_010340082.2	NP_001102593.2
OG0000011	XP_039326277.1	NP_001102865.1
OG0000011	XP_039326275.1	NP_001108076.1
OG0000011	XP_039328082.1, XP_039328036.1	NP_001395838.1
OG0000011	XP_039316705.1, XP_039327835.1	NP_001014804.1
OG0000011	XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1	NP_001391845.1
OG0000011	XP_039328029.1	NP_001108074.2, NP_001102860.1, NP_001395766.1
OG0000011	XP_039328885.1	NP_001395668.1
OG0000011	XP_039326453.1	NP_001395844.1
OG0000011	XP_010340091.2	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2
OG0000011	XP_010340171.2	NP_001403744.1
OG0000012	XP_003924128.1	NP_001037711.1, XP_063136102.1
OG0000012	XP_003924124.1	XP_003752106.1
OG0000012	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1
OG0000013	XP_003938964.1	NP_001000881.1
OG0000014	XP_003944055.1	XP_006228239.1, XP_008757305.3, NP_001178549.1
OG0000014	XP_003944052.3	XP_038956264.1
OG0000015	XP_003938968.2	NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1, XP_038938790.1, XP_002729926.5
OG0000016	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1
