Orthogroup	Ursus_americanus	Loxodonta_africana
OG0000000	XP_045672096.1	XP_023398898.1
OG0000000	XP_045645194.1	XP_023399242.1, XP_023399860.1, XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1
OG0000000	XP_045642231.1	XP_003422344.1, XP_023397248.1
OG0000000	XP_045630167.1, XP_045630164.1	XP_023399368.1
OG0000000	XP_045661194.1	XP_023397246.1
OG0000000	XP_045661136.1	XP_023397216.1
OG0000000	XP_045630187.1	XP_010584934.1
OG0000000	XP_045661152.1	XP_023397228.1
OG0000000	XP_045661176.1	XP_010599888.1
OG0000000	XP_045661198.1	XP_023397249.1
OG0000000	XP_045661205.1	XP_010599884.1, XP_023397253.1
OG0000000	XP_045629146.1	XP_023399459.1
OG0000000	XP_045630174.1	XP_003406923.2
OG0000000	XP_045633339.1	XP_010600469.2
OG0000001	XP_045656004.1	XP_010599729.2, XP_023396729.1
OG0000001	XP_045630322.1	XP_023407671.1
OG0000002	XP_045653415.1, XP_045659601.1, XP_045660122.1, XP_045653432.1, XP_045660182.1, XP_045659597.1, XP_045653429.1, XP_045660179.1, XP_045660162.1, XP_045660163.1, XP_045660181.1, XP_045660180.1, XP_045659596.1, XP_045660123.1, XP_045643395.1, XP_045659595.1, XP_045659590.1, XP_045653428.1, XP_045653446.1, XP_045660133.1, XP_045659603.1, XP_045660146.1, XP_045653418.1, XP_045660127.1, XP_045660116.1, XP_045660126.1, XP_045660134.1, XP_045660150.1, XP_045660149.1, XP_045660138.1, XP_045643397.1, XP_045660187.1, XP_045659606.1, XP_045653435.1, XP_045659604.1, XP_045659600.1, XP_045653431.1, XP_045653434.1, XP_045653440.1, XP_045653444.1, XP_045659849.1, XP_045659605.1, XP_045659598.1, XP_045653430.1, XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1, XP_045659594.1, XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1	XP_003413354.2
OG0000002	XP_045667978.1, XP_045667981.1, XP_045667980.1, XP_045667955.1, XP_045667977.1, XP_045667966.1	XP_003413372.1, XP_003413373.1, XP_003413374.2, XP_010600981.2
OG0000003	XP_045656411.1	XP_023411476.1
OG0000003	XP_045656370.1	XP_003421157.1
OG0000003	XP_045656417.1	XP_003409563.1
OG0000003	XP_045656371.1	XP_023396024.1, XP_023403170.1
OG0000003	XP_045656416.1	XP_023411488.1
OG0000003	XP_045656369.1	XP_023396025.1
OG0000003	XP_045656412.1	XP_003416463.1
OG0000003	XP_045659934.1	XP_023396104.1
OG0000003	XP_045659933.1	XP_010599027.1
OG0000003	XP_045633097.1, XP_045633094.1	XP_023403165.1
OG0000003	XP_045656365.1	XP_003422331.1, XP_023397190.1, XP_023397191.1
OG0000004	XP_045656361.1	XP_003416459.1, XP_003421192.1
OG0000004	XP_045656358.1	XP_003422330.1
OG0000004	XP_045656406.1, XP_045656405.1	XP_023411480.1
OG0000004	XP_045633095.1, XP_045633096.1	XP_003409564.1
OG0000004	XP_045656403.1	XP_023411485.1, XP_003416465.1
OG0000004	XP_045633092.1	XP_003409558.1
OG0000004	XP_045637404.1	XP_003405713.1
OG0000004	XP_045633093.1	XP_003409559.1
OG0000004	XP_045656431.1	XP_003416480.1, XP_003416483.1
OG0000005	XP_045632498.1, XP_045652424.1	XP_010595805.1, XP_003405135.2
OG0000005	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1	XP_003405571.1, XP_003405575.1
OG0000005	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1	XP_003405143.1, XP_003405138.1, XP_003405142.1, XP_003405582.1, XP_003405140.1, XP_023396331.1
OG0000005	XP_045632521.1, XP_045645925.1	XP_010601004.1, XP_003405577.2, XP_010600920.2, XP_003405581.2, XP_003405141.2, XP_010599357.1, XP_003405137.3
OG0000005	XP_045645927.1, XP_045632517.1	XP_023396334.1, XP_003405584.2, XP_023396327.1
OG0000005	XP_045652430.1, XP_045652427.1, XP_045632518.1	XP_010595858.1, XP_003405560.1
OG0000005	XP_045645521.1	XP_023396363.1
OG0000006	XP_045656292.1	XP_023411689.1
OG0000007	XP_045641340.1	XP_023399456.1
OG0000007	XP_045645201.1, XP_045631120.1	XP_003406631.2, XP_003406898.2, XP_023399943.1, XP_003406632.1
OG0000007	XP_045645184.1	XP_023399856.1, XP_023399857.1
OG0000008	XP_045631167.1, XP_045631098.1	XP_023399207.1
OG0000008	XP_045670779.1	XP_010586028.2
OG0000008	XP_045644759.1	XP_023396493.1
OG0000008	XP_045651930.1	XP_023400813.1
OG0000008	XP_045642057.1	XP_010599893.1
OG0000008	XP_045669366.1	XP_023411607.1
OG0000008	XP_045669362.1	XP_010594572.1
OG0000008	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1	XP_023398361.1
OG0000008	XP_045670809.1	XP_010595066.1
OG0000009	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1	XP_023398360.1, XP_023396632.1, XP_023397413.1, XP_010599502.2, XP_023396647.1, XP_023398346.1, XP_023396648.1, XP_010599487.1, XP_010599501.2, XP_003423760.3, XP_023397179.1, XP_010600918.1, XP_023398140.1, XP_023398138.1, XP_010600063.1
OG0000010	XP_045642833.1, XP_045642838.1	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1
OG0000010	XP_045642839.1	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1
OG0000010	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1	XP_003412119.2, XP_003412120.2
OG0000011	XP_045650413.1	XP_010589626.1
OG0000011	XP_045650417.1	XP_010589614.1
OG0000011	XP_045650426.1	XP_003404600.1
OG0000011	XP_045650411.1	XP_003404609.1
OG0000011	XP_045650409.1	XP_003404610.1
OG0000011	XP_045650412.1	XP_003404608.1
OG0000011	XP_045650424.1	XP_003404601.1
OG0000011	XP_045650416.1	XP_003404607.1
OG0000011	XP_045650414.1	XP_003404606.1
OG0000011	XP_045650423.1	XP_023405595.1
OG0000011	XP_045650419.1	XP_003404603.1
OG0000011	XP_045650422.1	XP_023405607.1
OG0000011	XP_045650410.1	XP_003404858.2
OG0000011	XP_045650407.1	XP_010589642.2
OG0000012	XP_045659615.1	XP_010594127.1
OG0000012	XP_045660985.1, XP_045660983.1	XP_023410900.1, XP_003416054.1
OG0000012	XP_045634849.1	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1
OG0000012	XP_045659613.1	XP_023410902.1
OG0000012	XP_045634850.1, XP_045634848.1	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1
OG0000013	XP_045630277.1	XP_023398492.1
