Orthogroup	Microcebus_murinus	Loxodonta_africana
OG0000000	XP_012616738.1	XP_023398898.1
OG0000000	XP_012641044.1, XP_012613266.1, XP_012628339.1, XP_012628337.1, XP_012613289.1	XP_023399858.1, XP_023399859.1, XP_023399230.1, XP_023399239.1, XP_023399235.1, XP_010584894.1
OG0000000	XP_012630310.1	XP_003422344.1, XP_023397248.1
OG0000000	XP_012613228.1	XP_023399368.1
OG0000000	XP_012630382.1, XP_012630385.1, XP_012630384.1, XP_012630383.1, XP_012630381.1, XP_012630380.1	XP_023397216.1
OG0000000	XP_012604394.1	XP_010584934.1
OG0000000	XP_012630386.1	XP_023397228.1
OG0000000	XP_012630265.1	XP_010599888.1
OG0000000	XP_012630372.1	XP_023397249.1
OG0000000	XP_012630285.2	XP_010599884.1, XP_023397253.1
OG0000000	XP_012630062.1	XP_023395675.1
OG0000000	XP_020139008.1	XP_023399407.1, XP_023399459.1
OG0000000	XP_012604505.1, XP_012613248.1	XP_003406923.2
OG0000000	XP_012615665.1	XP_010600469.2
OG0000001	XP_012624815.1	XP_010599729.2, XP_023396729.1
OG0000001	XP_012646178.1, XP_012646169.1	XP_023407671.1
OG0000001	XP_012646150.1	XP_010591667.1
OG0000002	XP_012645796.1, XP_020139519.1, XP_012646004.2, XP_020139359.1	XP_003413354.2
OG0000003	XP_012596788.1	XP_023411490.1, XP_003421157.1, XP_003416466.1, XP_003416445.1, XP_023411491.1
OG0000003	XP_012597460.1, XP_012597518.1	XP_023396024.1, XP_023403170.1
OG0000003	XP_012597512.1	XP_023411488.1, XP_023396025.1
OG0000003	XP_012596785.1	XP_003416463.1
OG0000003	XP_012634028.1	XP_023396104.1
OG0000003	XP_012609570.1	XP_023403165.1
OG0000003	XP_012597458.1	XP_003422331.1, XP_023397190.1, XP_023397191.1
OG0000004	XP_012597516.1	XP_023396022.1, XP_003416470.1, XP_023411486.1, XP_003421190.1, XP_003409367.1
OG0000004	XP_012597450.1	XP_003416459.1, XP_003421192.1
OG0000004	XP_012596784.1	XP_023411480.1
OG0000004	XP_012634027.1	XP_023396105.1, XP_003421236.1
OG0000004	XP_012609566.1	XP_003409564.1, XP_003409562.1
OG0000004	XP_012596782.1, XP_012596783.1	XP_023411485.1, XP_003416465.1
OG0000004	XP_012609567.1	XP_003409558.1
OG0000004	XP_012609187.1	XP_003405713.1
OG0000004	XP_012609568.1	XP_003409559.1
OG0000004	XP_012596861.1	XP_003416483.1
OG0000005	XP_012610257.1	XP_010595805.1, XP_003405135.2
OG0000005	XP_020143017.1	XP_003405571.1, XP_003405575.1
OG0000005	XP_012610269.1	XP_003405134.2, XP_010599311.1
OG0000005	XP_012609942.2	XP_003405143.1, XP_003405138.1, XP_003405142.1, XP_003405582.1, XP_003405140.1, XP_023396331.1
OG0000005	XP_012610373.1	XP_023396345.1, XP_023396346.1
OG0000005	XP_012610321.1	XP_010601004.1, XP_003405577.2, XP_010600920.2, XP_003405581.2, XP_003405141.2, XP_010599357.1, XP_003405137.3
OG0000005	XP_012610295.1	XP_023396334.1, XP_003405584.2, XP_023396327.1
OG0000005	XP_012608319.1	XP_003405136.1
OG0000005	XP_012609915.1	XP_010595858.1, XP_003405560.1
OG0000005	XP_012609981.1	XP_023396363.1
OG0000006	XP_012625684.2, XP_012601742.1, XP_012606863.1, XP_012595831.2, XP_012596629.2, XP_012616975.2, XP_012609122.2, XP_020143214.1	XP_023411689.1
OG0000006	XP_012599818.2, XP_020145819.1	XP_023402983.1
OG0000007	XP_020139117.1	XP_023399456.1
OG0000007	XP_012613264.2	XP_023399856.1, XP_023399857.1
