Orthogroup	Rattus_norvegicus	Ursus_americanus
OG0000000	XP_008757184.1, NP_001017512.2	XP_045672096.1
OG0000000	XP_017451463.1	XP_045630216.1
OG0000000	XP_063133080.1	XP_045645194.1
OG0000000	XP_063133791.1, XP_038947125.2, XP_063128847.1, XP_063133790.1	XP_045661229.1
OG0000000	NP_001414718.1, XP_063143066.1	XP_045630167.1, XP_045630164.1
OG0000000	NP_001128198.1, XP_038944205.1	XP_045661221.1
OG0000000	XP_008757455.1, XP_006228826.1, XP_006228825.1, XP_006228824.1	XP_045661152.1, XP_045661176.1
OG0000000	NP_001094461.1, XP_038943235.1	XP_045661198.1
OG0000000	XP_006255213.1	XP_045661205.1, XP_045661204.1
OG0000000	XP_063133243.1	XP_045629938.1, XP_045629146.1, XP_045629728.1
OG0000000	XP_006228251.1, NP_001008557.1	XP_045630174.1
OG0000000	XP_063119671.1, NP_001387994.1	XP_045633339.1
OG0000001	XP_063124294.1	XP_045656004.1
OG0000001	NP_001396167.1	XP_045630538.1, XP_045630542.1, XP_045630524.1, XP_045630526.1
OG0000001	XP_063138867.1	XP_045630322.1
OG0000002	NP_001000108.1, XP_006255421.1	XP_045634378.1
OG0000002	NP_997480.2, NP_001000941.1	XP_045659598.1, XP_045653430.1, XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1, XP_045659594.1, XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1
OG0000003	NP_001396017.1	XP_045656410.1, XP_045656415.1, XP_045656367.1, XP_045656299.1, XP_045656370.1
OG0000003	NP_001395777.1	XP_045656417.1
OG0000003	NP_001403243.1	XP_045656371.1
OG0000003	NP_001395954.1	XP_045656416.1, XP_045656369.1
OG0000003	NP_001101884.1	XP_045656412.1
OG0000003	NP_001104597.1	XP_045659934.1
OG0000003	NP_001103111.1	XP_045659933.1
OG0000003	NP_001102870.1	XP_045656364.1, XP_045656366.1, XP_045656365.1
OG0000004	NP_001395916.1	XP_045656407.1
OG0000004	NP_001395861.1, NP_001102893.1	XP_045656405.1
OG0000004	NP_001302421.1	XP_045656359.1
OG0000004	NP_001302422.1	XP_045633095.1, XP_045633096.1
OG0000004	NP_001104811.1	XP_045633092.1
OG0000004	NP_001103080.1	XP_045637404.1
OG0000004	NP_001395771.1	XP_045633093.1
OG0000005	NP_001000060.1	XP_045632498.1, XP_045652424.1
OG0000005	NP_001001365.1, NP_001000938.1, NP_001001382.1, NP_001001385.1, NP_001001361.1	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1
OG0000005	NP_001000587.1, NP_001001360.1, NP_001000703.1	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1
OG0000005	NP_001000700.1, NP_001001356.1	XP_045632521.1, XP_045645925.1
OG0000005	NP_001006597.1, NP_001001357.2, NP_001410141.1, XP_056840442.1, NP_001382514.1	XP_045645927.1, XP_045632517.1
OG0000005	NP_001000061.1	XP_045652430.1, XP_045652427.1, XP_045632518.1
OG0000005	NP_001000055.1	XP_045645521.1
OG0000006	XP_006244762.1	XP_045650013.1
OG0000006	XP_063120688.1, XP_063120689.1, XP_063120693.1, XP_063120692.1, XP_063120691.1, XP_063120732.1, XP_063120731.1, XP_063120734.1, XP_063120733.1, XP_063120690.1, XP_063120687.1, XP_063120686.1	XP_045656292.1
OG0000006	XP_063136755.1, XP_063141299.1, XP_038959293.1, XP_063118789.1	XP_045661052.1
OG0000007	XP_038953247.1, XP_038953242.1, XP_038953239.1	XP_045629912.1
OG0000007	NP_001009510.1	XP_045645201.1, XP_045631120.1
OG0000008	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1	XP_045631167.1, XP_045631098.1, XP_045670779.1
OG0000008	XP_017457697.2	XP_045644759.1
OG0000008	XP_008757447.1, XP_008757448.1, XP_017445996.1	XP_045642057.1
OG0000008	XP_006248929.1, NP_001178593.1	XP_045669366.1
OG0000008	XP_221917.5, NP_001414121.1	XP_045669362.1
OG0000008	NP_001100474.2	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1
OG0000008	NP_001020936.1, XP_063134265.1	XP_045670809.1
