Orthogroup	Homo_sapiens	Sarcophilus_harrisii
OG0000000	NP_001375102.1, NP_001375106.1, NP_057003.2, NP_001375105.1, NP_001375104.1, NP_001139692.1, NP_001027546.1, NP_001375103.1, NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1	XP_031812992.1
OG0000000	NP_001340733.1, NP_001372545.1, XP_047294716.1, NP_001372541.1, NP_001372540.1, NP_001372547.1, NP_001372543.1, NP_001372542.1, NP_001372544.1, NP_001372538.1, NP_001372539.1, NP_001372546.1, NP_001276882.1, NP_001309054.1, NP_001309055.1, XP_047295761.1, NP_001356754.1, NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1, NP_001166145.1, NP_001166146.1, NP_115973.2, NP_001340387.1, XP_047295035.1	XP_031817705.1
OG0000000	NP_001381102.1, XP_047272426.1, NP_001265594.1, XP_047294753.1, NP_001243101.1, XP_011513906.2, XP_047295611.1, XP_016864080.1, NP_001164376.1, NP_612203.2, XP_047294335.1, NP_001092096.1, XP_016881603.1, NP_001264332.1, NP_689839.1, NP_848653.2, NP_001230967.1, NP_001342333.1, NP_067092.2	XP_031810195.1, XP_031823895.1, XP_023359536.1
OG0000000	NP_001308920.1, NP_001287922.1, NP_065864.2, NP_001138815.1, NP_001035939.1, NP_001180481.1, NP_653291.1, NP_001307300.2, NP_694989.2, NP_001229729.1, NP_001229730.1, NP_001229731.1, NP_996777.2, XP_047294754.1, NP_001284548.1, NP_001307595.1, NP_001308846.1, NP_848639.2, NP_001136051.1, NP_001005851.1, XP_005258647.1, XP_005258830.1, NP_001136049.1, NP_001136050.1, NP_001010880.2, NP_001092907.1, NP_001092908.1, NP_919306.2, XP_011525745.1, NP_116078.4, NP_001166161.1	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1
OG0000000	NP_775819.1, NP_001291264.1, NP_001291266.1, NP_001291265.1, NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1, NP_001308285.1, NP_001336738.1	XP_031800804.1
OG0000001	NP_079243.1, NP_001284497.1, NP_660338.1, NP_003428.1, NP_001129973.1, NP_660276.2, XP_047294275.1, XP_016882684.1, NP_001073873.2, NP_066966.2, XP_005259787.1, NP_689569.2, NP_001073962.1, NP_001157748.1, NP_110451.1, NP_660319.1, NP_066358.2, NP_065765.1, NP_659413.1, NP_079080.2, XP_047295678.1, NP_149990.1, NP_699189.2, NP_689814.1	XP_031815742.1
OG0000001	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1, NP_001189335.1, NP_115886.1, NP_001189336.1	XP_012401289.1
OG0000002	NP_001005190.1, NP_112163.1, NP_001357409.1, NP_001357412.1, NP_001357411.1, NP_059976.1, NP_001357410.1	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2
OG0000003	NP_066406.1, NP_003511.1	XP_031824341.1
OG0000003	NP_778225.1	XP_003769950.1
OG0000003	NP_003519.1	XP_012404136.1, XP_003770776.2, XP_003770630.2
OG0000003	NP_542160.1, NP_066402.2, NP_001299582.1	XP_031823293.1
OG0000004	NP_066409.1	XP_003767376.1
OG0000004	NP_066408.1	XP_003768759.1
OG0000004	NP_003507.1	XP_031823292.1
OG0000004	NP_001035807.1	XP_012404135.1, XP_031821118.1, XP_012405694.1
OG0000004	NP_778235.1	XP_003769951.1
OG0000004	NP_808760.1, NP_003508.1	XP_012405154.1
OG0000004	NP_734466.1	XP_003768752.1
OG0000005	NP_473446.1, NP_001005519.2	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3
OG0000006	XP_047289367.1	XP_031801369.1
OG0000007	NP_065684.1, NP_776255.2, NP_776256.2	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3
OG0000008	NP_001269444.1	XP_031806199.1
OG0000008	NP_001129745.1	XP_023362616.1, XP_031800616.1
OG0000008	NP_001123370.1, NP_001034980.1	XP_023355868.1, XP_012401259.1
OG0000008	NP_001275729.1, NP_001191385.1, NP_066986.1, NP_057349.2, NP_008887.2, NP_001191442.1, NP_001311180.1, XP_011517958.1, NP_003412.1, NP_001311179.1, NP_001311178.1, NP_001311177.1, NP_001311176.1, NP_001311175.1, NP_001311174.1, NP_001171572.1, NP_001007095.1, NP_001311191.1, NP_001311181.1, NP_001311183.1, NP_001311182.1, NP_001311189.1, NP_001311188.1, NP_001311187.1, NP_001311186.1, NP_001311185.1, NP_001311190.1, NP_001310956.1, NP_001121695.1, NP_001277137.1, NP_001277138.1, XP_011531546.1, XP_047298751.1, NP_001310955.1, NP_001277139.1, NP_001310957.1, NP_003437.2, XP_016878441.1	XP_023361210.2, XP_031794448.1
