Orthogroup	Canis_lupus_familiaris	Mus_musculus
OG0000000	XP_038384579.1	XP_030098258.1, NP_033587.2
OG0000000	XP_038383531.1, XP_038383540.1	NP_001020334.1
OG0000000	XP_038385116.1	NP_690027.1
OG0000000	XP_038385096.1, XP_038383557.1	NP_001389468.1
OG0000000	XP_038385054.1, XP_038385022.1	NP_001406212.1
OG0000000	XP_038385069.1	NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1
OG0000000	XP_038381488.1, XP_038385089.1	NP_808557.2
OG0000000	XP_038383541.1	NP_001020099.1, XP_006540216.1
OG0000000	XP_038411812.1	NP_001345745.1
OG0000001	XP_038423111.1, XP_038423107.1, XP_038423095.1	NP_001028985.1
OG0000001	XP_038423310.1, XP_038423296.1	XP_030106060.1
OG0000002	NP_001375586.1	NP_667070.1
OG0000002	XP_038422957.1, NP_001013440.1, XP_038421294.1, NP_001375587.1, XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1	NP_667253.1, NP_667282.1
OG0000003	XP_038440279.1	NP_075911.2, NP_001277309.1
OG0000003	XP_038418003.1	NP_783597.2
OG0000003	XP_038440305.1	NP_783595.1
OG0000003	XP_038440281.1, XP_038440282.1, XP_038440298.1, XP_038440303.1, XP_038440304.1, XP_038440302.1, XP_038440300.1, XP_038440301.1, XP_038440288.1, XP_038440287.1, XP_038440285.1	NP_835507.1
OG0000003	XP_038418004.1, XP_038418006.1, XP_038418005.1, XP_038440363.1, XP_038440334.1, XP_038440352.1, XP_038440364.1	NP_835504.1
OG0000004	XP_038440277.1	NP_835494.1, NP_835496.1, NP_835490.1, NP_835491.1, NP_835492.1, NP_783591.2, NP_835489.1, NP_835493.1, NP_001171015.1, NP_835495.1
OG0000004	XP_038418000.1	NP_038577.1
OG0000004	XP_038440341.1	NP_783590.1
OG0000004	XP_038418001.1	NP_835585.3
OG0000004	XP_038432800.1	NP_808356.1
OG0000004	XP_038418002.1	NP_783593.1
OG0000005	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1	NP_667141.1
OG0000005	NP_001375871.1, XP_038444903.1, NP_001376078.1	NP_667138.1, NP_666939.1
OG0000005	NP_001375861.1, XP_038444905.1, NP_001376081.1	NP_666490.1
OG0000005	NP_001376104.1	NP_666379.1
OG0000006	XP_038444756.1, XP_038421308.1	XP_030110853.2
OG0000006	XP_038407892.1, XP_038444158.1	XP_036016100.1
OG0000008	XP_038383866.1, XP_038409055.1	NP_001277279.1
OG0000008	XP_038444566.1	NP_033592.2
OG0000008	XP_038384956.1	NP_001408747.1
OG0000008	XP_038445242.1	NP_067301.1, NP_001346164.1, NP_001038947.1
OG0000008	XP_038395427.1	NP_001276518.1
OG0000008	XP_038435142.1	NP_035888.2
OG0000008	XP_038394427.1	NP_001355257.1
OG0000009	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1	NP_001108547.1, XP_030105660.1, NP_034521.1, NP_034522.2, XP_011244602.1, NP_034520.2, NP_001355671.1, NP_001411251.1, NP_001411253.1, NP_001411252.1, NP_001411248.1, NP_075613.3, NP_001411249.1, NP_997531.1, NP_001355670.1, NP_001188389.1, NP_034524.3, NP_001137161.1, XP_017173254.1, NP_001357747.1, XP_006524864.1, NP_001074501.2, NP_001390291.1, XP_006523736.1, NP_034510.3
OG0000010	NP_001375563.1	XP_017174101.1, NP_667184.2
OG0000010	XP_038418409.1, NP_001375564.1	NP_667181.1
OG0000010	NP_001376103.1, NP_001375879.1	NP_667001.1
OG0000010	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1	NP_667194.1
OG0000011	XP_038386314.1	NP_444370.1
OG0000011	XP_038386305.1	NP_444357.1
OG0000011	XP_038386315.1	NP_444375.2
OG0000011	XP_038386324.1	NP_444376.1
OG0000011	XP_038386312.1	NP_444358.2
OG0000011	XP_038386308.1	NP_444360.1, NP_444364.3, NP_444362.3
OG0000011	XP_038386303.1	NP_444368.1
OG0000011	XP_038386309.1	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1
OG0000011	XP_038386316.1	NP_444377.3
OG0000012	XP_038443043.1, XP_038443045.1, XP_038443044.1	NP_776144.1
OG0000012	XP_038442409.1	XP_006527991.1, NP_001094920.1
OG0000012	XP_038442408.1, XP_038442410.1	NP_001028664.2
OG0000013	XP_038421256.1	NP_001011824.1, NP_001011823.1
OG0000013	NP_001376117.1	NP_667117.1
OG0000014	XP_038381450.1	NP_666291.2
OG0000015	XP_038423317.1	NP_666774.1
OG0000015	XP_038421309.1	NP_666770.1, NP_666769.1, NP_666772.1
OG0000015	NP_001375602.1	NP_666739.1, NP_666737.2, NP_035131.1, NP_001012265.1, NP_666773.1, XP_030100252.1
OG0000016	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1
OG0000017	NP_001375448.1, NP_001375576.1	NP_666450.2
OG0000017	XP_038402084.1	NP_001011863.1, NP_001349594.1, NP_035132.2
OG0000018	XP_038402506.1	NP_032236.1, XP_006532311.1, NP_032237.1
OG0000018	XP_038417997.1	NP_835512.1, NP_473386.1, NP_835510.1, NP_835734.2, NP_783584.1, NP_835511.1, NP_038576.1, NP_835587.1
OG0000018	NP_001361455.1, XP_038440337.1, NP_001361514.1, XP_038440360.1, XP_038440338.1	NP_835514.1
OG0000018	XP_038440272.1	NP_659539.1
OG0000019	XP_038435794.1	NP_666514.2
OG0000019	XP_038445405.1	NP_666660.1
OG0000020	XP_038383733.1, XP_038381457.1	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1, XP_006539826.1, NP_001074708.2, XP_036011513.1, NP_001278821.1, NP_032173.1, NP_038560.1
OG0000021	XP_038439912.1	NP_666401.1, NP_666399.1, NP_666843.1, NP_001011753.2, NP_001013593.2, XP_011244764.1, NP_666489.1, NP_996552.1, NP_001011829.1, NP_667101.1, NP_666402.2
OG0000022	XP_038386332.1	NP_291072.1
OG0000022	XP_038386364.1	NP_291067.1
OG0000022	XP_038386347.1	NP_291068.2
OG0000022	XP_038386329.1	NP_291069.1
OG0000022	XP_038386339.1	NP_291071.1
OG0000022	XP_038386342.1	NP_291066.1
OG0000022	XP_038386333.1	NP_291062.1
OG0000022	XP_038386334.1	NP_291063.1
OG0000022	XP_038386340.1	NP_291064.1
OG0000023	XP_038383955.1	NP_001104528.1, XP_006540653.1, XP_036008866.1, NP_848821.2
OG0000023	XP_038384083.1	XP_036008858.1, NP_663556.1
OG0000023	XP_038381467.1	NP_112458.2, XP_006541381.1
OG0000024	XP_038391423.1	NP_666650.1, NP_667041.2, NP_666958.1, NP_666957.1
