Orthogroup	Mesocricetus_auratus	Rattus_norvegicus
OG0000000	XP_040590578.1	XP_008757184.1, NP_001017512.2
OG0000000	XP_040586165.1	XP_017451463.1
OG0000000	XP_040589832.1	XP_063133748.1, XP_063133080.1
OG0000000	XP_040613840.1	NP_001388796.1
OG0000000	XP_040613640.1	XP_006227880.2, NP_001396202.1
OG0000000	XP_021091568.2	XP_017446703.2, XP_063138922.1
OG0000000	XP_040613642.1, XP_040613648.1	NP_001333357.1
OG0000000	XP_040613841.1	NP_001395830.1, XP_006232167.1, NP_001395828.1, NP_001132963.1, XP_038957792.1, NP_775436.2
OG0000000	XP_005069759.1	NP_001395762.1
OG0000000	XP_005085706.2	NP_001414718.1, XP_063143066.1
OG0000000	XP_040590281.1, XP_040590282.1	NP_001128198.1, XP_038944205.1
OG0000000	XP_021078768.2	NP_001094461.1, XP_038943235.1
OG0000000	XP_021078895.1	XP_006255213.1
OG0000000	XP_040613645.1	XP_038955172.1, XP_063133243.1
OG0000000	XP_040589935.1	XP_006228251.1, NP_001008557.1
OG0000000	XP_040592164.1	XP_063119671.1, NP_001387994.1
OG0000001	XP_040597963.1	NP_001395692.1, XP_017455833.1
OG0000001	XP_040597954.1	XP_063132002.1
OG0000001	XP_012976937.1	NP_001128033.2, XP_017450288.1
OG0000001	XP_040598214.1, XP_040591117.1	NP_001396210.1
OG0000001	XP_012981991.2, XP_012981549.1, XP_040589839.1, XP_021084573.2, XP_040596870.1, XP_040598213.1, XP_040597186.1, XP_040597891.1, XP_040598120.1	XP_017454926.2, XP_017445586.1, XP_017445584.1
OG0000001	XP_040606170.1	XP_017453250.1, XP_038952215.1
OG0000001	XP_040597032.1, XP_040596955.1	XP_063136635.1, XP_038962670.1, XP_063141291.1, XP_063141290.1, XP_063141202.1, XP_006253835.3, XP_038962525.2, XP_038962669.1, XP_038962668.1, XP_006235724.3, XP_063141292.1, XP_038962524.2, XP_008760797.2, XP_017457707.1
OG0000001	XP_012980114.1, XP_005069719.1, XP_040596762.1, XP_040592595.1, XP_040597162.1, XP_040597017.1, XP_040590128.1, XP_040591407.1, XP_040600781.1, XP_040593987.1, XP_040593104.1, XP_040593959.1	XP_038954258.2, XP_063124011.1, XP_063122590.1, XP_006238266.1, XP_063136844.1, XP_063136808.1, XP_063123872.1, XP_063136851.1, XP_063136855.1, XP_063136858.1, XP_038954243.2, NP_001156535.1, XP_038936355.1
OG0000001	XP_040598136.1	XP_038943507.2
OG0000001	XP_021087094.1	XP_063141293.1, XP_063141294.1, XP_063141295.1, XP_008760845.2
OG0000001	XP_040589758.1, XP_040596853.1	XP_038964471.1, XP_038962561.1
OG0000001	XP_040611174.1	XP_063137129.1, XP_063140870.1
OG0000001	XP_012981467.1	XP_063138867.1
OG0000002	XP_005087851.1	NP_001000108.1, XP_006255421.1
OG0000002	XP_040596818.1, XP_040597230.1	NP_001396109.1
OG0000002	XP_005083420.1	NP_001000712.1
OG0000002	XP_005083419.1	NP_001000421.1
OG0000002	XP_005083422.1	NP_997480.2
OG0000002	XP_005083421.1	NP_001000941.1
OG0000003	XP_021080735.1	NP_001396019.1
OG0000003	XP_005086745.1, XP_005086737.1	NP_001396017.1
OG0000003	XP_005066534.1	XP_063132502.1
OG0000003	XP_040611624.1, XP_040611622.1, XP_021091128.1	NP_001403243.1
OG0000003	XP_040611612.1	NP_001395954.1
OG0000003	XP_040611613.1	NP_001099584.1
OG0000003	XP_012967010.1	NP_001104597.1
OG0000003	XP_005067770.2	NP_001103111.1
OG0000003	XP_021079067.1	NP_001102870.1
OG0000004	XP_040611615.1	NP_001395861.1, NP_001102893.1
OG0000004	XP_040611618.1	NP_001100824.1
OG0000004	XP_021080734.2, XP_040611619.1	NP_001302421.1
OG0000004	XP_012981136.1	NP_001395941.1
OG0000004	XP_005067769.1	NP_068612.2
OG0000004	XP_040608137.1	NP_001302422.1
OG0000004	XP_005066507.1	NP_068611.1
OG0000004	XP_021091122.2	NP_001104811.1
OG0000004	XP_005072949.1	NP_001103080.1
OG0000004	XP_021091115.2	NP_001395771.1
OG0000005	XP_005079738.2	NP_001000060.1
OG0000005	XP_021088443.2, XP_040610223.1	NP_001001365.1, NP_001000938.1, NP_001001382.1, NP_001001385.1, NP_001001361.1
OG0000005	XP_005079739.1	NP_001000075.1
OG0000005	XP_005079742.2, XP_040611146.1	NP_001000587.1, NP_001001360.1, NP_001000703.1
OG0000005	XP_021088490.2	NP_001000056.1
OG0000005	XP_012975766.3, XP_005079740.2	NP_001000700.1, NP_001001356.1
OG0000005	XP_005079741.1	NP_001006597.1, NP_001001357.2, NP_001410141.1, XP_056840442.1, NP_001382514.1
OG0000005	XP_005079743.1	NP_001000055.1
OG0000006	XP_040589604.1	XP_006244762.1
OG0000006	XP_040597264.1	XP_063136755.1, XP_063141299.1, XP_038959293.1, XP_063118789.1
OG0000006	XP_040599337.1	XP_063132126.1, XP_063129896.1, XP_063138877.1, XP_063142959.1, XP_038956440.2
OG0000006	XP_040613590.1	XP_063133756.1
