Orthogroup	Ursus_americanus	Mesocricetus_auratus
OG0000000	XP_045672096.1	XP_040590578.1
OG0000000	XP_045630216.1	XP_040586165.1
OG0000000	XP_045645196.1, XP_045645193.1, XP_045645194.1	XP_040589832.1
OG0000000	XP_045642231.1	XP_012980823.1
OG0000000	XP_045630167.1, XP_045630164.1	XP_005085706.2
OG0000000	XP_045661221.1	XP_040590281.1, XP_040590282.1
OG0000000	XP_045661198.1	XP_021078768.2
OG0000000	XP_045661205.1, XP_045661204.1	XP_021078895.1
OG0000000	XP_045629938.1, XP_045629146.1, XP_045629728.1	XP_040613645.1
OG0000000	XP_045630174.1	XP_040589935.1
OG0000000	XP_045633339.1	XP_040592164.1
OG0000001	XP_045630322.1	XP_012981467.1
OG0000002	XP_045634378.1	XP_005087851.1
OG0000002	XP_045659598.1, XP_045653430.1, XP_045660115.1, XP_045660131.1, XP_045660141.1, XP_045660136.1, XP_045660143.1, XP_045660178.1, XP_045660160.1, XP_045660186.1, XP_045643396.1, XP_045660185.1, XP_045643394.1, XP_045659594.1, XP_045659850.1, XP_045653436.1, XP_045653419.1, XP_045653442.1, XP_045659591.1, XP_045659592.1, XP_045653439.1, XP_045653441.1, XP_045653414.1, XP_045653438.1, XP_045653417.1, XP_045660137.1, XP_045660144.1, XP_045660168.1, XP_045660154.1, XP_045660142.1, XP_045660132.1, XP_045660124.1, XP_045660172.1, XP_045660155.1, XP_045659587.1, XP_045653424.1, XP_045660184.1, XP_045660183.1, XP_045653413.1, XP_045660175.1, XP_045643393.1, XP_045659585.1, XP_045633912.1, XP_045653412.1, XP_045660176.1, XP_045660157.1, XP_045660156.1, XP_045660173.1, XP_045660161.1, XP_045660174.1, XP_045660151.1, XP_045659602.1, XP_045660140.1, XP_045659599.1, XP_045653422.1, XP_045660130.1, XP_045659846.1, XP_045660125.1, XP_045660120.1, XP_045660119.1, XP_045659848.1, XP_045660129.1, XP_045659852.1, XP_045660177.1, XP_045660159.1, XP_045660171.1	XP_005083422.1, XP_005083421.1
OG0000003	XP_045656370.1	XP_005086737.1
OG0000003	XP_045656371.1	XP_040611624.1, XP_040611622.1, XP_021091128.1, XP_012979222.1
OG0000003	XP_045656416.1	XP_040611612.1
OG0000003	XP_045659934.1	XP_012967010.1
OG0000003	XP_045659933.1	XP_005067770.2
OG0000003	XP_045656364.1, XP_045656366.1, XP_045656365.1	XP_021079067.1
OG0000004	XP_045656405.1	XP_040611617.1, XP_040611614.1, XP_040611615.1
OG0000004	XP_045656359.1	XP_021080734.2, XP_040611619.1
OG0000004	XP_045656404.1	XP_012981123.1
OG0000004	XP_045633096.1	XP_040608137.1
OG0000004	XP_045656362.1	XP_040611610.1
OG0000004	XP_045633092.1	XP_021091122.2
OG0000004	XP_045637404.1	XP_005072949.1
OG0000004	XP_045633093.1	XP_021091115.2
OG0000005	XP_045632498.1, XP_045652424.1	XP_005079738.2
OG0000005	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1	XP_021088443.2, XP_040610223.1
OG0000005	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1	XP_005079742.2, XP_040611146.1
OG0000005	XP_045632521.1, XP_045645925.1	XP_012975766.3, XP_005079740.2
OG0000005	XP_045645927.1, XP_045632517.1	XP_005079741.1
OG0000005	XP_045645521.1	XP_005079743.1
OG0000006	XP_045650013.1	XP_040589604.1
OG0000006	XP_045661052.1	XP_040597264.1
OG0000007	XP_045629912.1	XP_005087808.1, XP_040590162.1, XP_005087807.2
OG0000007	XP_045645201.1, XP_045631120.1	XP_005086773.1, XP_012981157.2, XP_040589756.1, XP_005087922.1
OG0000008	XP_045631167.1, XP_045631098.1, XP_045670779.1	XP_005085123.2
OG0000008	XP_045644759.1	XP_012981311.2
OG0000008	XP_045642057.1	XP_012980805.2
OG0000008	XP_045669366.1	XP_040607222.1
OG0000008	XP_045669362.1	XP_005080013.1
OG0000008	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1	XP_012966980.1
OG0000008	XP_045670809.1	XP_005076380.2, XP_021086449.1, XP_040592559.1
OG0000009	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1	XP_040596996.1, XP_040588386.1, XP_040597078.1, XP_040588058.1, XP_040588055.1, XP_040597080.1, XP_040597074.1, XP_040588524.1, XP_040588391.1, XP_040597180.1, XP_040588465.1, XP_040588202.1, XP_040588464.1, XP_040588388.1, XP_012981543.1
OG0000010	XP_045642840.1	XP_005065035.2
OG0000010	XP_045642833.1, XP_045642838.1	XP_040600849.1
OG0000010	XP_045642839.1	XP_005065040.1
OG0000010	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1	XP_005064625.1
OG0000011	XP_045650417.1	XP_040597859.1
OG0000011	XP_045650426.1	XP_040597868.1
OG0000011	XP_045650411.1	XP_040597855.1
OG0000011	XP_045650409.1	XP_040597852.1
OG0000011	XP_045650412.1	XP_040597857.1, XP_040597858.1
OG0000011	XP_045650424.1	XP_040597867.1
OG0000011	XP_045650416.1	XP_040597854.1
OG0000011	XP_045650414.1	XP_005139286.1
OG0000011	XP_045650423.1	XP_040597863.1
OG0000011	XP_045650422.1	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1
OG0000011	XP_045650407.1	XP_040597853.1
OG0000012	XP_045659615.1	XP_005088691.1
OG0000012	XP_045659614.1, XP_045634849.1	XP_005080125.1
OG0000012	XP_045634850.1, XP_045634848.1	XP_040599889.1, XP_040599760.1, XP_040599888.1
OG0000013	XP_045630277.1	XP_040591191.1
OG0000013	XP_045630326.1	XP_012973996.2
OG0000014	XP_045629486.1	XP_012980406.1
OG0000014	XP_045629587.1	XP_012980379.2
OG0000015	XP_045630360.1	XP_040593112.1, XP_012976898.1, XP_021087015.1
OG0000015	XP_045630319.1	XP_005077393.1, XP_005077364.1
OG0000016	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1	XP_040613374.1, XP_040613378.1, XP_040613379.1, XP_040613377.1, XP_040613380.1, XP_040613381.1, XP_040613372.1, XP_040613373.1, XP_040613375.1, XP_012971927.2, XP_005074393.2, XP_040613376.1, XP_021085317.2, XP_005074343.2
OG0000017	XP_045640004.1, XP_045639964.1, XP_045640398.1	XP_005081713.2, XP_040603898.1, XP_040603900.1, XP_040603899.1
OG0000017	XP_045634772.1, XP_045634756.1	XP_005087134.1
OG0000017	XP_045656563.1	XP_005086742.1
OG0000017	XP_045629463.1	XP_040603984.1, XP_040603983.1
OG0000017	XP_045647112.1	XP_040591625.1, XP_040591602.1
OG0000017	XP_045634937.1	XP_005076922.1
OG0000018	XP_045670225.1	XP_005078192.1, XP_005069967.1
OG0000018	XP_045633105.1	XP_012966031.1, XP_021080732.2, XP_021079072.2, XP_021080731.2
OG0000018	XP_045659932.1	XP_005067768.1
OG0000019	XP_045645141.1, XP_045643388.1	XP_040600867.1, XP_040600868.1, XP_005064844.1, XP_005064843.1, XP_005064848.1, XP_005064585.1, XP_005064847.1, XP_005064584.1
OG0000019	XP_045645143.1, XP_045643386.1	XP_005064850.1
OG0000020	XP_045645295.1, XP_045645300.1	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1, XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1
OG0000020	XP_045645315.1, XP_045645319.1, XP_045645325.1	XP_040589773.1, XP_040589996.1
OG0000021	XP_045672083.1	XP_005077511.3, XP_040589524.1, XP_005087265.2, XP_040588430.1, XP_005077475.1
OG0000022	XP_045650391.1	XP_012968143.1
OG0000022	XP_045650387.1	XP_012968137.1
OG0000022	XP_045650393.1	XP_040597834.1
OG0000022	XP_045650396.1	XP_012968139.1
OG0000022	XP_045650384.1	XP_012968138.2
OG0000022	XP_045650404.1	XP_040597835.1
OG0000022	XP_045650405.1	XP_040597836.1
OG0000022	XP_045650392.1	XP_012968142.1
OG0000023	XP_045631035.1	XP_021090051.1
OG0000023	XP_045631030.1	XP_012979575.2
OG0000023	XP_045631031.1	XP_040592152.1, XP_005084860.3
OG0000024	XP_045653510.1	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1, XP_005069429.1, XP_005069427.1
OG0000024	XP_045653577.1	XP_005069439.1, XP_005069315.1, XP_012968276.2, XP_005069438.2, XP_040585969.1
OG0000024	XP_045653509.1, XP_045653508.1	XP_005069440.1, XP_012968278.1
OG0000026	XP_045672087.1	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1
OG0000026	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1	XP_012973615.1
OG0000027	XP_045633509.1	XP_005070529.1
OG0000027	XP_045657089.1	XP_040609793.1
OG0000027	XP_045631313.1	XP_040593732.1
OG0000027	XP_045668843.1	XP_040611487.1
OG0000027	XP_045658509.1, XP_045671137.1	XP_040599534.1
OG0000027	XP_045657088.1	XP_040609790.1
OG0000027	XP_045657091.1	XP_040609794.1
OG0000028	XP_045643020.1, XP_045643013.1	XP_012966156.1, XP_012967592.1, XP_012967554.1, XP_005063854.1, XP_040588468.1, XP_012967590.1
OG0000028	XP_045643014.1, XP_045643018.1	XP_005063306.1, XP_005063857.1
OG0000029	XP_045641565.1, XP_045641598.1	XP_005076794.1
OG0000029	XP_045641600.1	XP_040606242.1, XP_040606301.1, XP_005076843.2
OG0000029	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1	XP_040606240.1, XP_040606241.1, XP_005076795.1, XP_040606248.1, XP_005076798.2
OG0000031	XP_045672053.1	XP_005077476.1
OG0000031	XP_045659913.1, XP_045659986.1	XP_005067750.1
OG0000031	XP_045656313.1, XP_045656312.1	XP_040612128.1, XP_005086751.3, XP_040611602.1, XP_040611600.1, XP_040611601.1
OG0000031	XP_045656296.1, XP_045656558.1	XP_005086741.1
OG0000032	XP_045650436.1	XP_040597881.1
OG0000032	XP_045650430.1	XP_040597876.1
OG0000032	XP_045650429.1	XP_040597872.1
OG0000033	XP_045670367.1	XP_012968668.2
OG0000033	XP_045670271.1, XP_045670269.1, XP_045670270.1	XP_005070271.1
OG0000033	XP_045670249.1	XP_005070011.3
OG0000033	XP_045669873.1	XP_012968934.1
OG0000034	XP_045635028.1, XP_045659988.1	XP_012969626.1, XP_005077657.1, XP_012981677.2, XP_005087476.2, XP_012973194.1, XP_005076167.1, XP_005076126.2, XP_005087477.1, XP_005087475.2, XP_040595329.1, XP_040593015.1
OG0000035	XP_045628381.1	XP_012975185.1
OG0000035	XP_045639549.1, XP_045639550.1	XP_005064723.1
OG0000035	XP_045658329.1	XP_005063733.1
OG0000035	XP_045669289.1	NP_001268524.1, XP_012975858.1
OG0000035	XP_045630929.1	XP_040606104.1
OG0000035	XP_045650270.1	XP_005065601.1
OG0000035	XP_045644253.1	XP_005071114.1
OG0000036	XP_045641026.1, XP_045641029.1, XP_045641028.1	XP_005063672.1
OG0000038	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1	XP_012975442.1, XP_005065093.1, XP_005065094.1, XP_005065098.1, XP_021089454.1, XP_012975394.1
OG0000039	XP_045667593.1	XP_040611731.1
OG0000039	XP_045667466.1	XP_005066458.1
OG0000039	XP_045656493.1	XP_005087662.1
OG0000039	XP_045659670.1	XP_005083770.1
OG0000039	XP_045632691.1	XP_005081404.1
OG0000039	XP_045670590.1	XP_040588788.1
