Orthogroup	Rattus_norvegicus	Myotis_lucifugus
OG0000000	XP_008757184.1, NP_001017512.2	XP_023599356.1, XP_023599350.1
OG0000000	XP_063133748.1, XP_063133080.1	XP_023620736.1
OG0000000	NP_001128198.1, XP_038944205.1	XP_023618147.1
OG0000000	NP_001094461.1, XP_038943235.1	XP_014319713.1
OG0000000	XP_006255213.1	XP_023616328.1, XP_006098666.1
OG0000000	XP_038955172.1	XP_023599537.1, XP_023599527.1
OG0000000	XP_063133243.1	XP_023604378.1
OG0000000	XP_006228251.1, NP_001008557.1	XP_006109488.2, XP_023604206.1
OG0000000	XP_063119671.1, NP_001387994.1	XP_006107371.2
OG0000001	NP_001103147.2	XP_023600178.1
OG0000001	NP_001128033.2, XP_017450288.1	XP_023602735.1
OG0000001	NP_001396167.1	XP_014301019.2, XP_006103138.1, XP_006104610.1, XP_014303641.1, XP_006103139.1, XP_014301016.2, XP_006103137.3, XP_006109167.1, XP_023600179.1, XP_023600175.1, XP_014301002.2, XP_014302358.1
OG0000002	NP_997480.2, NP_001000941.1	XP_006106210.1, XP_006107454.1, XP_006109070.1, XP_006107515.1, XP_006107514.1, XP_006099747.1, XP_006099742.1, XP_006106211.1, XP_006106209.1, XP_006107119.1, XP_006107121.1, XP_006107120.1, XP_006107453.1, XP_006106212.1, XP_023619081.1, XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1
OG0000003	NP_001396017.1	XP_023602528.1, XP_006105761.1, XP_014303297.1, XP_006106487.1
OG0000003	XP_063132502.1	XP_006105897.1
OG0000003	NP_001395862.1	XP_006105765.1
OG0000003	NP_001395954.1	XP_006105754.1
OG0000004	NP_001302422.1	XP_006095377.1
OG0000004	NP_001395796.1	XP_006095232.1
OG0000004	NP_068611.1	XP_023602434.1
OG0000004	NP_001104811.1	XP_014316718.2
OG0000004	NP_001395771.1	XP_006095233.1
OG0000005	NP_001000060.1	XP_006101362.1, XP_006101381.1
