Orthogroup	Myotis_lucifugus	Ictidomys_tridecemlineatus
OG0000000	XP_023599350.1	XP_005338252.2
OG0000000	XP_023620736.1	XP_040146438.1, XP_021576805.2, XP_021576806.1, XP_021576803.1
OG0000000	XP_023618147.1	XP_021576898.1
OG0000000	XP_006098677.1	XP_021576901.1
OG0000000	XP_014319713.1	XP_005342012.1
OG0000000	XP_023616328.1	XP_021576027.1
OG0000000	XP_006098666.1	XP_021576894.1
OG0000000	XP_023604378.1	XP_040136033.1, XP_021576780.1
OG0000000	XP_006109488.2, XP_023604206.1	XP_013221241.1
OG0000000	XP_006107371.2	XP_013212186.1
OG0000001	XP_023600178.1	XP_021576558.1, XP_013221205.1
OG0000001	XP_023602735.1	XP_021587205.1, XP_021587207.1, XP_021587102.1, XP_021587204.1, XP_040146264.1, XP_040146260.1, XP_013217290.1, XP_013217292.1
OG0000002	XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1, XP_006099744.1, XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1	XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1
OG0000003	XP_006106487.1	XP_005337132.1, XP_013216605.1
OG0000003	XP_006105901.1	XP_005337115.1
OG0000003	XP_006105754.1	XP_005337103.1
OG0000003	XP_006105894.1	XP_005331197.1
OG0000004	XP_006105904.1	XP_013219116.1
OG0000004	XP_006095377.1	XP_005331195.1
OG0000004	XP_014303409.1	XP_013219117.1
OG0000004	XP_014316718.2	XP_021586083.1
OG0000004	XP_006095233.1	XP_005331198.1
OG0000005	XP_006101362.1, XP_006101381.1	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1
OG0000005	XP_006101391.1, XP_006109268.1	XP_005342755.2
OG0000005	XP_006101365.1	XP_005342769.3
OG0000005	XP_006101368.1	XP_005342567.1
OG0000006	XP_023607122.1, XP_023611083.1	XP_040137726.1, XP_040124164.1, XP_040143849.1
OG0000006	XP_023619823.1, XP_023611739.1	XP_013220679.2
