Orthogroup	Sus_scrofa	Urocitellus_parryii
OG0000000	XP_020953205.1	XP_026259515.1
OG0000000	XP_020952925.1	XP_026238407.1
OG0000000	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1	XP_026235051.1
OG0000000	XP_020952850.1	XP_026262699.1
OG0000000	XP_013853826.1	XP_026235903.1
OG0000000	XP_020950760.1	XP_026237094.1
OG0000000	XP_020952794.1	XP_026237210.1
OG0000000	XP_013853905.1	XP_026237216.1
OG0000000	XP_020950037.1	XP_026267304.1
OG0000000	XP_020952989.1	XP_026237455.1
OG0000000	XP_020950733.1	XP_026237090.1, XP_026237089.1
OG0000000	XP_003481363.2	XP_026265638.1
OG0000001	XP_020939397.1	XP_026255634.1
OG0000002	XP_003354160.1, XP_020940775.1, XP_003123442.1, XP_020942030.1, XP_003123499.1, XP_020937411.1, XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1	XP_026238350.1, XP_026238584.1
OG0000003	XP_020955500.1	XP_026270378.1, XP_026270377.1
OG0000003	XP_020945586.1	XP_026237648.1
OG0000003	XP_020954093.1	XP_026263464.1
OG0000003	XP_020939042.1	XP_026237965.1
OG0000003	XP_020945588.1	XP_026259839.1
OG0000003	XP_020955502.1	XP_026270385.1
OG0000004	XP_003356618.1, XP_001927727.1	XP_026270382.1
OG0000004	XP_020955497.1	XP_026270383.1
OG0000004	XP_020954090.1	XP_026238606.1
OG0000004	XP_020954092.1	XP_026263458.1
OG0000004	XP_020954091.1	XP_026263457.1
OG0000004	XP_001928592.1, XP_020955499.1	XP_026270403.1
OG0000004	XP_020945584.1	XP_026259837.1
OG0000004	XP_013853268.2	XP_026269954.1
OG0000004	XP_013852658.1	XP_026259838.1
OG0000004	XP_001925399.1	XP_026263475.1
OG0000005	XP_001926317.2	XP_026237754.1, XP_026236696.1
OG0000005	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2	XP_026254205.1
OG0000005	XP_020937937.1, XP_003355500.2, XP_020937458.1	XP_026254194.1
OG0000005	XP_013839577.1	XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1
OG0000006	XP_020921056.1, XP_020956191.1, XP_020936626.1, XP_020933478.1, XP_020925483.1, XP_020930447.1	XP_026245409.1, XP_026268252.1, XP_026238327.1, XP_026265281.1, XP_026251594.1, XP_026268248.1, XP_026250486.1, XP_026263551.1, XP_026238340.1, XP_026237231.1, XP_026236588.1, XP_026240291.1, XP_026267714.1, XP_026260361.1
OG0000006	XP_020922897.1, XP_020939871.1	XP_026238559.1
OG0000007	XP_020953242.1	XP_026235558.1
OG0000007	XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1, XP_013854178.1	XP_026237661.1, XP_026237675.1, XP_026237678.1, XP_026238595.1, XP_026238594.1, XP_026238338.1, XP_026238538.1, XP_026237663.1, XP_026238337.1, XP_026237676.1, XP_026237677.1, XP_026237662.1, XP_026237660.1, XP_026237659.1
OG0000007	XP_020953225.1, XP_020953224.1, XP_020953226.1	XP_026245659.1, XP_026245658.1, XP_026245660.1, XP_026245657.1
OG0000008	XP_020950594.1	XP_026237845.1
OG0000008	XP_005660392.2	XP_026249121.1
OG0000008	XP_020935751.1	XP_026268615.1
OG0000008	XP_020936063.1, XP_013841559.2	XP_026268556.1
OG0000008	XP_020941711.1, XP_005653115.2	XP_026262971.1
OG0000008	XP_005653113.1	XP_026262968.1
OG0000008	XP_020949541.1	XP_026260312.1
