Orthogroup	Homo_sapiens	Ictidomys_tridecemlineatus
OG0000000	NP_001375107.1, NP_057528.2, XP_006723430.1, NP_001375101.1, NP_001375100.1, NP_001375098.1, NP_001375099.1, NP_001375097.1, NP_001306018.1, NP_001306019.1, NP_001306017.1, NP_001027545.1, NP_001027544.1	XP_005338252.2
OG0000000	NP_001372545.1, XP_047294716.1, NP_001372541.1, NP_001372540.1, NP_001372547.1, NP_001372543.1, NP_001372542.1, NP_001372544.1, NP_001372538.1, NP_001372539.1, NP_001372546.1	XP_040146438.1
OG0000000	NP_001309054.1, NP_001309055.1, XP_047295761.1	XP_021576805.2
OG0000000	NP_001356754.1, NP_001309058.1, NP_150630.2, NP_942596.1, NP_001309066.1, NP_001309067.1, NP_001309068.1, NP_001309065.1, NP_001309064.1, NP_001309059.1, NP_001309061.1, NP_001309060.1, NP_001309062.1, NP_001309063.1, NP_001096073.1, NP_001309057.1, XP_047295573.1, NP_001166145.1, NP_001166146.1, NP_115973.2, NP_001340387.1, XP_047295035.1	XP_021576803.1
OG0000000	NP_001138815.1	XP_021576898.1
OG0000000	NP_001035939.1	XP_021576901.1
OG0000000	NP_653291.1, NP_001307300.2	XP_021576636.1
OG0000000	NP_001284548.1	XP_005342012.1
OG0000000	NP_001307595.1	XP_021576027.1
OG0000000	NP_001308846.1	XP_021576894.1
OG0000000	NP_848639.2	XP_005342901.3, XP_005336545.1
OG0000000	NP_001092907.1, NP_001092908.1, NP_919306.2, XP_011525745.1	XP_040135352.1
OG0000000	NP_001166161.1	XP_021576039.1
OG0000000	NP_775819.1	XP_040146794.1
OG0000000	NP_001291264.1, NP_001291266.1, NP_001291265.1, NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1	XP_040136033.1, XP_021576780.1
OG0000000	NP_001308285.1	XP_013221241.1
OG0000000	NP_001336738.1	XP_013212186.1
OG0000001	NP_001284497.1	XP_021576558.1, XP_013221205.1
OG0000001	NP_660338.1, NP_003428.1, NP_001129973.1, NP_660276.2, XP_047294275.1, XP_016882684.1, NP_001073873.2, NP_066966.2, XP_005259787.1, NP_689569.2, NP_001073962.1, NP_001157748.1, NP_110451.1, NP_660319.1	XP_021587205.1, XP_021587207.1, XP_021587102.1, XP_021587204.1, XP_040146264.1, XP_040146260.1, XP_013217290.1, XP_013217292.1
OG0000001	NP_699189.2	XP_005336245.2
OG0000001	NP_689814.1	XP_013218788.2
OG0000001	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1	XP_040137776.1
OG0000002	NP_001005190.1, NP_112163.1	XP_021577056.1, XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1
OG0000002	NP_001357409.1, NP_001357412.1, NP_001357411.1, NP_059976.1, NP_001357410.1	XP_005336371.1, XP_005336372.1, XP_013218747.1, XP_005336373.1, XP_021589500.2, XP_005336387.1, XP_005336389.1, XP_005336375.1
OG0000003	NP_003509.1	XP_013219120.1
OG0000003	NP_001368918.1	XP_005337132.1, XP_013216605.1
OG0000003	NP_066406.1	XP_005337121.1, XP_005337103.1
OG0000003	NP_066407.1	XP_021590094.1
OG0000003	NP_778225.1	XP_005342616.1
OG0000003	NP_003519.1	XP_005331197.1
OG0000003	NP_542160.1, NP_066402.2, NP_001299582.1	XP_005337126.1
OG0000004	NP_003502.1	XP_013219129.1
OG0000004	NP_066408.1	XP_013219116.1
OG0000004	NP_003504.2, NP_066390.1	XP_013219115.1
OG0000004	NP_003507.1	XP_005331193.1, XP_005331195.1
OG0000004	NP_003503.1	XP_040139584.1
OG0000004	NP_542163.1	XP_013219117.1
OG0000004	NP_778235.1	XP_021586083.1
OG0000004	NP_808760.1	XP_005331946.1
OG0000004	NP_003508.1	XP_005331198.1
OG0000004	NP_734466.1	XP_005337088.1
OG0000005	NP_473446.1	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1
OG0000006	XP_024302798.1	XP_040137726.1, XP_040124164.1, XP_040143849.1
OG0000006	XP_047289367.1	XP_013220679.2
OG0000007	NP_776255.2	XP_040135772.1
OG0000008	NP_001269444.1	XP_021585038.2
OG0000008	NP_001129745.1	XP_040142796.1, XP_005340718.1, XP_040142795.1
OG0000008	NP_001123370.1, NP_001034980.1	XP_040132762.1
OG0000008	NP_001275729.1	XP_021575996.1
OG0000008	NP_001191385.1, NP_066986.1	XP_005340090.1
OG0000008	NP_057349.2, NP_008887.2	XP_021575630.1
OG0000008	NP_001310956.1, NP_001121695.1, NP_001277137.1, NP_001277138.1, XP_011531546.1	XP_013211286.2, XP_021579127.1
OG0000008	XP_047298751.1, NP_001310955.1, NP_001277139.1, NP_001310957.1	XP_021577186.1, XP_040129248.1
OG0000008	NP_003437.2	XP_005324078.1
OG0000008	XP_016878441.1	XP_021577360.1
OG0000010	NP_001005275.2	XP_021585329.1
OG0000010	NP_001005272.3, NP_001005274.1	XP_005341590.1, XP_005330122.1, XP_005330123.1
OG0000010	NP_001005512.2	XP_005330009.1, XP_005330125.1, XP_005330126.1, XP_005330124.1, XP_005341591.1, XP_005330010.1, XP_005330129.3, XP_005341582.1, XP_005330008.1
OG0000011	NP_061992.3, NP_061753.1	XP_005324350.2
OG0000011	NP_061763.1	XP_013213581.1
OG0000011	NP_061759.1	XP_005324322.1
OG0000011	NP_061757.1	XP_005324316.1
OG0000011	NP_061754.1, NP_061755.1	XP_005324315.2
OG0000011	NP_061760.2	XP_013213584.1
OG0000011	NP_061993.3, NP_061756.1, NP_066008.2	XP_005324317.2
OG0000011	NP_061761.1	XP_013213578.3, XP_013213630.1
OG0000011	NP_056484.2	XP_013213560.1, XP_005324320.1
OG0000011	NP_061758.1	XP_021581335.1
OG0000012	NP_775970.2	XP_005329220.1
OG0000012	NP_872312.2	XP_013215724.1, XP_040144087.1, XP_040144082.1, XP_040144098.1
OG0000012	NP_001373794.1, XP_011543815.1, NP_002356.2	XP_021584687.1
OG0000012	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1	XP_040144109.1
OG0000012	NP_001264236.1, XP_047298311.1	XP_040143977.1, XP_005316390.1
OG0000013	NP_001001958.1	XP_013216903.1
OG0000013	NP_001005193.2	XP_013216899.1
OG0000014	NP_001277247.1	XP_005341812.3
OG0000014	NP_001019767.1	XP_021576777.1
OG0000014	NP_775902.2, NP_001317546.1, NP_001166244.1	XP_013221367.2
OG0000014	XP_047294519.1	XP_021576771.1
OG0000014	NP_060349.1	XP_021576769.1
OG0000014	NP_001010879.2	XP_013221372.3
OG0000014	NP_001363152.1, NP_001138461.1, XP_047295265.1, XP_005259324.1, NP_079038.2, NP_001303957.1, NP_001303959.1, XP_016881793.1, NP_001303956.1, NP_001303958.1, NP_597717.1, NP_116217.1, XP_047294178.1, NP_775903.3	XP_013221366.2
OG0000014	NP_001252526.1	XP_040135701.1
OG0000015	XP_047294550.1	XP_040147041.1, XP_013221517.1, XP_013221516.1, XP_013221515.1, XP_013221949.2, XP_040147040.1, XP_013221514.1, XP_013221559.1, XP_013221554.1, XP_005342190.2, XP_013221511.1, XP_013221510.3, XP_040146934.1, XP_013221512.2, XP_005342118.2, XP_040147036.1, XP_013221948.1, XP_013221537.1, XP_021576956.2, XP_013221552.1, XP_005342114.1, XP_005342115.1, XP_005342191.1, XP_013221519.2, XP_021576954.1, XP_040147037.1, XP_005342111.1, XP_013221540.1, XP_013221557.1, XP_005342210.1, XP_005342211.1
OG0000016	NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1
OG0000018	NP_002098.1, NP_001365976.1, NP_001365975.1, NP_001365972.1, NP_005315.1, NP_001365974.1	XP_005332630.1
OG0000018	NP_066403.2	XP_005331196.1
OG0000018	NP_001005464.1	XP_021590090.1
OG0000018	NP_003520.1	XP_021590092.1
OG0000018	NP_003484.1	XP_005342614.1
OG0000019	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1	XP_005337215.1, XP_040144992.1
OG0000019	NP_001005326.1	XP_005337207.1
OG0000020	NP_871714.1, NP_067073.1	XP_040135765.1, XP_021577041.2
OG0000021	NP_112208.1	XP_005338882.1, XP_013221669.1
OG0000021	NP_001004732.2	XP_005342785.1
OG0000022	NP_061740.2	XP_013213574.1
OG0000022	NP_061737.1	XP_013213552.1
OG0000022	NP_003726.1	XP_005324326.2
OG0000022	NP_061743.1	XP_013213585.2
OG0000022	NP_114477.1	XP_021581332.1
OG0000022	NP_061736.1	XP_013213586.1
OG0000022	NP_061741.1	XP_013213555.1
OG0000022	NP_061739.2	XP_005324347.1
OG0000023	NP_001763.3, XP_011525833.1	XP_040134939.1, XP_021577018.2
OG0000024	NP_001002905.1, NP_001005198.2	XP_005339563.1, XP_013215405.1, XP_013220287.1
