Orthogroup	Canis_lupus_familiaris	Ictidomys_tridecemlineatus
OG0000000	XP_038384579.1	XP_005338252.2
OG0000000	XP_038383925.1	XP_040146438.1
OG0000000	XP_038383888.1	XP_021576803.1
OG0000000	XP_038385116.1	XP_021576898.1
OG0000000	XP_038385096.1	XP_021576901.1
OG0000000	XP_038383557.1	XP_021576636.1
OG0000000	XP_038385069.1	XP_005342012.1
OG0000000	XP_038381488.1	XP_021576027.1
OG0000000	XP_038385089.1	XP_021576894.1
OG0000000	XP_038385115.1	XP_021576039.1
OG0000000	XP_038383482.1	XP_040146794.1
OG0000000	XP_038383515.1	XP_040136033.1, XP_021576780.1
OG0000000	XP_038383541.1	XP_013221241.1
OG0000000	XP_038411812.1	XP_013212186.1
OG0000001	XP_038423310.1	XP_040137776.1
OG0000002	NP_001375586.1	XP_005336366.1
OG0000002	XP_038421296.1, XP_038421300.1, XP_038421302.1, XP_038421293.1, XP_038421292.1, NP_001375819.1, NP_001376115.1, XP_038421297.1, NP_001375601.1, NP_001375830.1, NP_001375817.1, XP_038422956.1, NP_001375596.1, NP_001375594.1	XP_005336321.1, XP_005336320.1, XP_005333123.1, XP_005333190.1
OG0000003	XP_038440279.1	XP_005337132.1, XP_013216605.1
OG0000003	XP_038440354.1, XP_038440365.1, XP_038440353.1, XP_038440333.1	XP_005337109.1
OG0000003	XP_038440297.1	XP_005337115.1
OG0000003	XP_038440305.1	XP_005337103.1
OG0000003	XP_038440283.1, XP_038440284.1, XP_038440281.1, XP_038440282.1, XP_038440298.1, XP_038440303.1, XP_038440304.1, XP_038440302.1, XP_038440300.1, XP_038440301.1, XP_038440288.1, XP_038440287.1, XP_038440285.1	XP_021590094.1
OG0000003	XP_038418004.1, XP_038418006.1, XP_038418005.1	XP_005331197.1
OG0000003	XP_038440363.1, XP_038440334.1, XP_038440352.1, XP_038440364.1	XP_005337126.1
OG0000004	XP_038440340.1	XP_013219116.1, XP_005337120.1
OG0000004	XP_038440277.1	XP_013219115.1, XP_013219112.1, XP_005337114.1
OG0000004	XP_038418000.1	XP_005331193.1, XP_005331195.1
OG0000004	XP_038440275.1	XP_040139584.1
OG0000004	XP_038440341.1	XP_021590093.1
OG0000004	XP_038418001.1	XP_021586083.1
OG0000004	XP_038432800.1	XP_005331946.1
OG0000004	XP_038418002.1	XP_005331198.1
OG0000004	NP_001361454.1, XP_038440274.1	XP_013219122.1
OG0000004	XP_038440339.1, XP_038412336.1	XP_005342615.1
OG0000005	XP_038444866.1, XP_038444904.1, XP_038389608.1, XP_038445012.1, XP_038407482.1	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1
OG0000005	NP_001376104.1	XP_005342567.1
OG0000006	XP_038444756.1, XP_038421308.1	XP_040137726.1, XP_040124164.1, XP_040143849.1
OG0000006	XP_038400303.1, XP_038400305.1, XP_038400304.1	XP_013220679.2
OG0000006	XP_038407892.1, XP_038444158.1	XP_040134543.1
OG0000007	NP_001346935.1	XP_040135808.1
OG0000007	NP_001013874.1	XP_021577093.1
OG0000007	XP_038381463.1	XP_040135772.1
OG0000008	XP_038409055.1	XP_021585038.2
OG0000008	XP_038444566.1	XP_040142796.1, XP_005340718.1, XP_040142795.1
OG0000008	XP_038443189.1, XP_038443224.1	XP_040132762.1
OG0000008	XP_038384956.1	XP_021575996.1
OG0000008	XP_038445242.1	XP_005340090.1
OG0000008	XP_038395427.1	XP_021575630.1
OG0000008	XP_038435142.1	XP_013211286.2, XP_021579127.1
OG0000008	XP_038443214.1	XP_005324078.1
OG0000008	XP_038394427.1	XP_021577360.1
OG0000009	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1	XP_040138269.1, XP_021591414.1, XP_040138266.1, XP_040138267.1, XP_005339080.1, XP_040138268.1, XP_005339081.1, XP_040139563.1, XP_040137927.1, XP_040137941.1, XP_040138201.1, XP_040138200.1, XP_040138192.1, XP_021577268.2, XP_021591274.1, XP_040138191.1, XP_005342513.1, XP_040138206.1, XP_040138208.1, XP_040138373.1
OG0000010	NP_001375563.1	XP_021585329.1
OG0000010	XP_038418409.1, NP_001375564.1	XP_013216063.1
OG0000010	NP_001376103.1, NP_001375879.1	XP_005341590.1, XP_005330122.1, XP_005330123.1
OG0000010	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1	XP_005330009.1, XP_005330125.1, XP_005330126.1, XP_005330124.1, XP_005341591.1, XP_005330010.1, XP_005330129.3, XP_005341582.1, XP_005330008.1
OG0000011	XP_038386314.1	XP_013213581.1
OG0000011	XP_038386305.1	XP_005324322.1
OG0000011	XP_038386315.1	XP_005324316.1
OG0000011	XP_038386312.1	XP_013213584.1
OG0000011	XP_038386308.1	XP_013213578.3, XP_013213630.1
OG0000011	XP_038386309.1	XP_013213560.1, XP_005324320.1
OG0000011	XP_038386316.1	XP_021581335.1
OG0000012	XP_038443043.1, XP_038443045.1, XP_038443044.1	XP_005329220.1
OG0000012	NP_001003116.1	XP_013215724.1, XP_040144087.1, XP_040144082.1, XP_040144098.1
OG0000012	XP_038442409.1	XP_021584687.1
OG0000012	XP_038442408.1, XP_038442410.1	XP_040144109.1
OG0000013	XP_038421256.1	XP_013216903.1
OG0000013	NP_001375605.1	XP_005342199.1, XP_005342184.2, XP_040146941.1, XP_005342200.1
OG0000013	NP_001376117.1	XP_005342933.2, XP_040146943.1, XP_005332219.2
OG0000014	XP_038383494.1	XP_005341812.3
OG0000014	XP_038383510.1	XP_021576777.1
OG0000014	XP_038383498.1, XP_038383503.1	XP_013221367.2
OG0000014	XP_038383497.1, XP_038383496.1	XP_021576771.1
OG0000014	XP_038381450.1	XP_021576769.1
OG0000014	XP_038383509.1, XP_038383508.1	XP_013221366.2
OG0000015	XP_038423317.1	XP_040147035.1
