Orthogroup	Ursus_americanus	Echinops_telfairi
OG0000000	XP_045645194.1	XP_045148498.1, XP_045148479.1, XP_045148490.1
OG0000000	XP_045661229.1	XP_045148310.1
OG0000000	XP_045642231.1	XP_045148842.1
OG0000000	XP_045661194.1	XP_045148829.1, XP_045148828.1
OG0000000	XP_045661175.1, XP_045661221.1	XP_045148835.1
OG0000000	XP_045661136.1	XP_045148833.1
OG0000000	XP_045661198.1	XP_030742044.2
OG0000000	XP_045661205.1	XP_030742236.1
OG0000000	XP_045661204.1	XP_045148817.1
OG0000000	XP_045629146.1	XP_045148252.1, XP_045148251.1
OG0000000	XP_045630174.1	XP_004715710.1
OG0000000	XP_045633339.1	XP_045142672.1
OG0000001	XP_045656004.1, XP_045630521.1, XP_045630538.1, XP_045630542.1, XP_045630524.1, XP_045630526.1, XP_045656038.1	XP_045156010.1
OG0000001	XP_045630322.1	XP_045156114.1
OG0000002	XP_045653421.1	XP_045145692.1
OG0000003	XP_045656409.1, XP_045656414.1, XP_045656368.1, XP_045656410.1, XP_045656415.1, XP_045656367.1, XP_045656299.1, XP_045656370.1, XP_045656408.1	XP_004712547.1
OG0000003	XP_045656371.1	XP_030743047.1
OG0000003	XP_045656416.1, XP_045656369.1	XP_004712556.1
OG0000003	XP_045633094.1	XP_004716623.1
OG0000004	XP_045656363.1	XP_004712558.1
OG0000004	XP_045633093.1	XP_004716624.1
OG0000005	XP_045632498.1, XP_045652424.1	XP_030743198.1
OG0000005	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1	XP_004700918.3
OG0000005	XP_045632521.1, XP_045645925.1	XP_004700650.1, XP_030741266.1
OG0000005	XP_045652430.1, XP_045652427.1, XP_045632518.1	XP_004717924.1
OG0000005	XP_045645521.1	XP_004700643.1
OG0000006	XP_045650013.1	XP_012862570.1
OG0000006	XP_045656292.1	XP_045145606.1
OG0000007	XP_045645184.1	XP_030742138.1, XP_004715725.1, XP_030742141.1
OG0000008	XP_045631167.1, XP_045631098.1	XP_045148515.1
OG0000008	XP_045670779.1	XP_045152547.1
OG0000008	XP_045669366.1	XP_045141709.1
OG0000008	XP_045669362.1	XP_045141717.1
OG0000008	XP_045658297.1	XP_045142182.1
OG0000008	XP_045670809.1	XP_045149590.1
OG0000009	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1	XP_045148686.1, XP_004717465.2, XP_045154630.1, XP_004717452.2, XP_045151687.1, XP_045151702.1, XP_030743027.2
OG0000010	XP_045642833.1, XP_045642838.1	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3
OG0000010	XP_045642839.1	XP_004708520.1, XP_030741715.1
OG0000010	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1	XP_004708431.3
OG0000011	XP_045650423.1	XP_012861711.2
OG0000011	XP_045650422.1	XP_012860119.2
OG0000012	XP_045659615.1	XP_004714207.1, XP_012861936.2, XP_012864145.1
OG0000012	XP_045660985.1, XP_045660983.1	XP_030743784.1, XP_004713945.1
OG0000012	XP_045660984.1	XP_045154605.1
OG0000012	XP_045659614.1, XP_045634849.1	XP_012862981.1
OG0000012	XP_045659613.1	XP_004714205.2
OG0000012	XP_045634850.1, XP_045634848.1	XP_004713947.1, XP_004711269.1
OG0000012	XP_045660009.1	XP_004710064.1
OG0000013	XP_045630277.1	XP_004714288.1, XP_004714287.1
OG0000013	XP_045630276.1, XP_045630304.1, XP_045630339.1, XP_045630337.1	XP_012863082.1, XP_012863083.1
OG0000013	XP_045630386.1, XP_045630336.1	XP_004714375.1, XP_004714374.1
OG0000013	XP_045630350.1	XP_030744122.1, XP_004714364.1, XP_030744186.1, XP_004714369.1, XP_004714366.1, XP_004714365.1, XP_030744172.1, XP_004714368.1, XP_004714371.1, XP_004714370.1, XP_030744124.1
OG0000013	XP_045630326.1	XP_004714373.1
OG0000014	XP_045629904.1	XP_045148263.1
OG0000014	XP_045629486.1	XP_045148253.1
OG0000014	XP_045629613.1, XP_045629604.1, XP_045629575.1	XP_045148695.1
OG0000014	XP_045629587.1	XP_045148265.1, XP_045148272.1
OG0000015	XP_045630316.1, XP_045630360.1	XP_004716911.2
OG0000015	XP_045630319.1	XP_004717431.1
OG0000016	XP_045636723.1	XP_004706676.1
OG0000017	XP_045640004.1, XP_045639964.1, XP_045640398.1	XP_004706250.1, XP_004706251.1, XP_004706265.1, XP_045141829.1, XP_004706263.1, XP_004706256.1, XP_004706253.1, XP_004706254.3, XP_004706252.1, XP_004717982.2, XP_004706249.2, XP_030740248.1, XP_030740247.1, XP_004706273.1, XP_030740249.1, XP_004706248.1, XP_045141832.1, XP_004706244.1, XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2
OG0000017	XP_045629764.1	XP_004706000.1
OG0000017	XP_045656563.1	XP_004717472.1
OG0000017	XP_045647139.1	XP_004712662.1
OG0000017	XP_045629463.1	XP_004707348.1
OG0000017	XP_045634937.1	XP_012863346.1
OG0000018	XP_045670225.1	XP_012859399.1
OG0000018	XP_045633105.1	XP_004716622.1
OG0000018	XP_045659932.1	XP_004696931.1
OG0000019	XP_045643387.1	XP_004712788.1, XP_004712719.1, XP_004712720.1, XP_004712787.1, XP_004712721.1, XP_004712791.1
OG0000019	XP_045645143.1, XP_045643386.1	XP_004712786.1, XP_004712718.2, XP_004698479.1
OG0000020	XP_045645315.1, XP_045645319.1	XP_045148328.1
OG0000021	XP_045672083.1	XP_012860623.1, XP_004697282.1, XP_004697280.1, XP_030744593.1, XP_004697311.1, XP_012860657.2, XP_030744718.1, XP_012860659.1, XP_004717377.1, XP_012863941.2, XP_004717372.2, XP_004717798.2, XP_004717375.1, XP_004717804.3, XP_004717803.1
OG0000021	XP_045651763.1, XP_045651745.1, XP_045651775.1, XP_045651767.1, XP_045651773.1, XP_045651772.1, XP_045651774.1, XP_045651764.1	XP_030744588.1
OG0000021	XP_045651759.1	XP_004697297.1
OG0000021	XP_045651760.1	XP_004697300.1
OG0000021	XP_045651766.1, XP_045651768.1, XP_045651777.1	XP_004697303.1
OG0000021	XP_045651736.1, XP_045651734.1, XP_045651778.1, XP_045655329.1	XP_012861777.1
OG0000022	XP_045650391.1	XP_012861131.1
OG0000022	XP_045650387.1	XP_012860159.3
OG0000022	XP_045650396.1	XP_030744626.2
OG0000022	XP_045650404.1	XP_045140666.1
OG0000022	XP_045650405.1	XP_004697099.2
OG0000022	XP_045650392.1	XP_030744629.2
OG0000023	XP_045631035.1	XP_030742169.1
OG0000023	XP_045631125.1, XP_045631124.1	XP_004710771.1, XP_045148514.1, XP_012862162.1
OG0000023	XP_045631031.1	XP_012862151.1
OG0000023	XP_045631089.1	XP_045148358.1
OG0000024	XP_045653510.1	XP_004714285.1
OG0000026	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1
OG0000027	XP_045633509.1	XP_012861603.1
OG0000027	XP_045631313.1	XP_004710335.1
OG0000027	XP_045668843.1	XP_012862704.1
OG0000027	XP_045643594.1	XP_004699870.2
OG0000028	XP_045643014.1, XP_045643018.1	XP_004715034.1
OG0000028	XP_045643019.1, XP_045643012.1, XP_045643011.1, XP_045643017.1, XP_045643010.1, XP_045643015.1	XP_004715045.2, XP_045152990.1
OG0000029	XP_045641565.1, XP_045641598.1	XP_004706573.1, XP_004706506.1
OG0000029	XP_045641600.1	XP_012861092.2
OG0000029	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2
OG0000031	XP_045672053.1	XP_004717805.1
OG0000031	XP_045659913.1, XP_045659986.1	XP_004697319.1
OG0000031	XP_045656313.1, XP_045656312.1	XP_004717464.1, XP_012863974.1
OG0000031	XP_045656296.1, XP_045656558.1	XP_004717473.1
OG0000031	XP_045659914.1, XP_045659892.1, XP_045656295.1, XP_045656559.1, XP_045656562.1, XP_045656557.1, XP_045656560.1, XP_045656555.1, XP_045656561.1, XP_045659894.1, XP_045659893.1, XP_045659895.1	XP_004697315.2
OG0000031	XP_045635020.1	XP_004697273.1
OG0000032	XP_045650436.1, XP_045650441.1	XP_045140675.1
OG0000033	XP_045670367.1	XP_045155424.1
OG0000033	XP_045670271.1, XP_045670269.1, XP_045670270.1	XP_004709364.2
OG0000033	XP_045670249.1, XP_045670237.1, XP_045670459.1, XP_045670411.1, XP_045670491.1	XP_045155427.1, XP_045155234.1
OG0000033	XP_045669873.1	XP_004709367.1, XP_012861717.2
OG0000035	XP_045628381.1	XP_004712740.1
OG0000035	XP_045639549.1, XP_045639550.1	XP_004712219.1
OG0000035	XP_045658329.1	XP_030741765.1
OG0000035	XP_045650270.1	XP_004703656.1
OG0000035	XP_045644253.1	XP_030740512.1
OG0000036	XP_045665317.1, XP_045665320.1, XP_045665319.1	XP_012859662.1, XP_045147370.1
OG0000036	XP_045651935.1, XP_045665947.1	XP_004701113.1
OG0000036	XP_045641026.1, XP_045641029.1, XP_045641028.1	XP_004701111.1
OG0000038	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1	XP_012861542.1
OG0000039	XP_045667593.1, XP_045667466.1	XP_004711707.2
OG0000039	XP_045656493.1	XP_004711733.1
OG0000039	XP_045659670.1	XP_004702931.1
OG0000039	XP_045670590.1	XP_004716151.1
OG0000039	XP_045671051.1	XP_004702928.1
OG0000040	XP_045656776.1	XP_004711553.1
OG0000040	XP_045656701.1, XP_045656770.1	XP_004711551.1, XP_004711550.1
OG0000040	XP_045656771.1	XP_004711481.1
OG0000040	XP_045656778.1	XP_004711559.1
OG0000040	XP_045656777.1	XP_004711555.1
OG0000040	XP_045656698.1	XP_004711552.1
OG0000040	XP_045656702.1	XP_004711564.1
OG0000040	XP_045656697.1, XP_045656773.1	XP_004711558.1
OG0000040	XP_045656774.1	XP_004711556.1, XP_004711557.1
OG0000040	XP_045656781.1	XP_004711562.2
OG0000041	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1
OG0000041	XP_045642937.1, XP_045642938.1	XP_012861540.1
OG0000043	XP_045639029.1	XP_012863712.2, XP_030741683.1, XP_030741692.1
OG0000044	XP_045633101.1	XP_004712586.2
OG0000045	XP_045653186.1	XP_045149228.1
OG0000045	XP_045653194.1	XP_012861750.1
OG0000045	XP_045653188.1, XP_045653187.1, XP_045653189.1	XP_012861749.1
OG0000045	XP_045653191.1	XP_004709407.1
OG0000048	XP_045642300.1	XP_045148624.1
OG0000048	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1	XP_045148625.1, XP_030742216.1, XP_045148205.1
OG0000049	XP_045663942.1	XP_012859118.1
OG0000049	XP_045655350.1, XP_045655349.1	XP_004696508.2
OG0000050	XP_045646965.1	XP_004712659.1
OG0000050	XP_045646964.1	XP_004712657.1
OG0000051	XP_045628930.1	XP_045139744.1
OG0000051	XP_045631233.1	XP_045150200.1
OG0000051	XP_045628928.1, XP_045628929.1	XP_004704466.1
OG0000051	XP_045642234.1	XP_045154467.1
OG0000051	XP_045631224.1	XP_045150193.1
OG0000051	XP_045634948.1	XP_004710098.1
OG0000052	XP_045635810.1	XP_004700778.2
OG0000053	XP_045641654.1	XP_030744715.1, XP_030744716.1
OG0000054	XP_045640444.1	XP_045154396.1
OG0000054	XP_045640578.1	XP_030743721.1
OG0000054	XP_045639995.1	XP_004714839.1, XP_045154300.1
OG0000055	XP_045639049.1	XP_004716482.1
OG0000056	XP_045642850.1	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1
OG0000057	XP_045650108.1	XP_045151837.1, XP_045150218.1
OG0000057	XP_045650116.1	XP_045152239.1
OG0000057	XP_045650100.1	XP_045152873.1
OG0000058	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1	XP_004715220.1
OG0000060	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1	XP_012862321.2
OG0000061	XP_045670758.1	XP_012862257.2
OG0000061	XP_045669635.1	XP_045145283.1
OG0000062	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1	XP_004715350.1
OG0000063	XP_045666392.1	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1
OG0000064	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1
OG0000066	XP_045656564.1	XP_045144912.1
OG0000067	XP_045628280.1	XP_004697275.1
