Orthogroup	Urocitellus_parryii	Echinops_telfairi
OG0000000	XP_026238407.1	XP_045148498.1, XP_045148479.1, XP_045148490.1
OG0000000	XP_026235051.1	XP_045148842.1
OG0000000	XP_026262699.1	XP_045148835.1
OG0000000	XP_026235903.1	XP_045148833.1
OG0000000	XP_026237216.1	XP_030742044.2
OG0000000	XP_026237090.1, XP_026237089.1	XP_004715710.1
OG0000000	XP_026265638.1	XP_045142672.1
OG0000001	XP_026237610.1, XP_026255990.1, XP_026255634.1, XP_026237585.1, XP_026236579.1, XP_026237586.1, XP_026237910.1, XP_026235726.1, XP_026237587.1, XP_026270759.1, XP_026238174.1, XP_026245592.1, XP_026245818.1, XP_026245589.1, XP_026245763.1, XP_026245594.1, XP_026245673.1, XP_026245671.1, XP_026245675.1, XP_026245672.1, XP_026245636.1, XP_026245635.1, XP_026255632.1, XP_026245661.1, XP_026255633.1, XP_026255459.1, XP_026255460.1, XP_026238500.1, XP_026238774.1	XP_045156010.1
OG0000003	XP_026270384.1, XP_026263461.1, XP_026270378.1, XP_026270377.1, XP_026263462.1	XP_004712547.1
OG0000003	XP_026237648.1	XP_030743047.1
OG0000003	XP_026270402.1	XP_004712545.1
OG0000003	XP_026263464.1	XP_004712556.1
OG0000003	XP_026259839.1	XP_004716623.1
OG0000004	XP_026270403.1	XP_004712558.1
OG0000004	XP_026259838.1	XP_004716624.1
OG0000005	XP_026237754.1, XP_026236696.1	XP_030743198.1
OG0000005	XP_026254194.1	XP_004717924.1
OG0000005	XP_026254170.1, XP_026254267.1, XP_026254163.1, XP_026254177.1, XP_026254171.1, XP_026254175.1	XP_004700643.1
OG0000006	XP_026236425.1	XP_012862570.1
OG0000006	XP_026270592.1	XP_045145606.1
OG0000007	XP_026245659.1, XP_026245658.1, XP_026245660.1, XP_026245657.1	XP_012863437.1
OG0000008	XP_026237845.1	XP_045148515.1
OG0000008	XP_026249121.1	XP_045152547.1
OG0000008	XP_026262971.1	XP_045141709.1
OG0000008	XP_026262968.1	XP_045141717.1
OG0000008	XP_026260312.1	XP_045149590.1
OG0000009	XP_026237619.1	XP_045151687.1, XP_045151702.1
OG0000010	XP_026235001.1	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3
OG0000010	XP_026237833.1, XP_026234999.1, XP_026235002.1	XP_004708520.1, XP_030741715.1
OG0000010	XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1	XP_004708431.3
OG0000011	XP_026240223.1	XP_012861711.2
OG0000011	XP_026240283.1, XP_026240273.1, XP_026240279.1	XP_012860119.2
OG0000012	XP_026267998.1	XP_004714207.1, XP_012861936.2, XP_012864145.1
OG0000012	XP_026236424.1, XP_026236422.1	XP_030743784.1, XP_004713945.1
