Orthogroup	Sarcophilus_harrisii	Mus_musculus
OG0000000	XP_031812992.1	XP_030098258.1, NP_033587.2
OG0000000	XP_031805707.1, XP_023352302.1	XP_030100300.1, NP_001004190.2
OG0000000	XP_031817705.1	NP_663458.2
OG0000000	XP_031810195.1, XP_031823895.1, XP_023359536.1	NP_001296303.1, XP_017170821.1, NP_001296302.1, NP_001389832.1, NP_573491.2, NP_001001130.1, NP_938081.2, NP_001012325.2, NP_082678.2, NP_001360967.2, NP_001041669.1, NP_001001186.3, NP_001074410.2, NP_001013791.2, NP_808479.1, NP_001094948.1, XP_036008322.1, XP_036008341.1, XP_036008365.1, XP_036008364.1, XP_036008321.1, NP_001371171.1
OG0000000	XP_031817576.1, XP_031819200.1, XP_023355867.1, XP_031819213.1	NP_001020334.1, NP_690027.1, NP_001389468.1, NP_001406212.1, NP_035878.1, XP_030098427.1, NP_848848.1, NP_001345789.1, NP_808557.2
OG0000000	XP_031800804.1	NP_001020099.1, XP_006540216.1, NP_001345745.1
OG0000001	XP_031815742.1	XP_011247286.1, NP_848504.2, NP_001186952.1, NP_808567.2, NP_001020121.2, XP_006524318.1, NP_001028985.1
OG0000001	XP_031819923.1	NP_941021.1, XP_036013012.1, NP_001365496.1, NP_001365208.1, NP_663538.2, NP_001296145.1, XP_036017514.1, NP_001365582.1, XP_030098763.1, NP_001030065.1, NP_001170996.1, NP_001349294.1, XP_011248171.1, XP_030099084.1, NP_001349022.1, NP_001363937.1, XP_036014171.1, XP_017171176.1, NP_001365610.1, NP_001361681.1, NP_722475.1, XP_030103371.2, XP_017171189.2, XP_017171151.2, NP_001277125.1, NP_001371157.1, NP_001371159.1, NP_001171303.1, NP_898942.1, NP_001358047.1, XP_036014156.1, XP_017171171.1, NP_001395957.1, NP_001001737.1, NP_001296124.1, NP_001191986.1, NP_001186237.1, NP_001028295.2, NP_001135883.1, XP_030107904.1, NP_081293.4, XP_017170764.2, NP_001365623.1, XP_054875574.1, XP_054875579.1, XP_036013047.1, XP_036013642.1, XP_036013623.1, XP_006515363.1, NP_001361001.1, XP_036013679.1, XP_036013678.1, XP_036013674.1, XP_036013624.1, NP_001371123.1, NP_001369767.1, NP_001371190.1, XP_036013031.1, XP_036013640.1, XP_036013673.1, NP_001371074.1, NP_001369748.1, XP_036013622.1, XP_036013613.1
OG0000001	XP_012401289.1	XP_030106060.1
OG0000002	XP_003761018.1, XP_003761017.1, XP_012397602.1, XP_003761016.1, XP_023352745.1, XP_012399617.1, XP_031806596.1, XP_012397809.2	NP_667070.1, NP_666447.1, NP_667251.1, NP_667252.1, NP_667253.1, NP_667282.1
