Orthogroup	Myotis_lucifugus	Sus_scrofa
OG0000000	XP_023599350.1	XP_020953205.1
OG0000000	XP_023620736.1	XP_020952941.1, XP_020952927.1, XP_020952925.1
OG0000000	XP_023610099.1, XP_023610100.1, XP_006109159.1, XP_023610093.1, XP_023610091.1, XP_023610090.1, XP_023610092.1, XP_023610098.1, XP_023610096.1, XP_023610102.1, XP_023611398.1	XP_013844747.1, XP_005653629.1
OG0000000	XP_023616360.1	XP_013853904.1, XP_013853903.1, XP_013853902.1, XP_013853901.1
OG0000000	XP_023618147.1	XP_020952850.1
OG0000000	XP_006098677.1	XP_013853826.1
OG0000000	XP_014319713.1	XP_013853905.1
OG0000000	XP_023616328.1	XP_020952895.1
OG0000000	XP_006098666.1	XP_020952826.1, XP_020952827.1, XP_020952828.1, XP_020952829.1, XP_020952825.1, XP_020952824.1
OG0000000	XP_023604378.1	XP_020952989.1
OG0000000	XP_006109488.2, XP_023604206.1	XP_020950733.1
OG0000000	XP_006107371.2	XP_003481363.2
OG0000001	XP_023601577.1	XP_020939397.1
OG0000001	XP_014303641.1	XP_013846094.1
OG0000001	XP_006103139.1, XP_014301016.2, XP_006103137.3, XP_006109167.1, XP_023600179.1, XP_023600175.1, XP_014301002.2	XP_020939404.1, XP_020939396.1, XP_020939408.1, XP_003354140.1
OG0000001	XP_014302358.1	XP_020939542.1
OG0000002	XP_006106210.1, XP_006107454.1, XP_006109070.1, XP_006107515.1, XP_006107514.1, XP_006099747.1, XP_006099742.1, XP_006106211.1, XP_006106209.1, XP_006107119.1, XP_006107121.1, XP_006107120.1, XP_006107453.1, XP_006106212.1	XP_005661279.1, XP_003123450.2, XP_020937687.1
OG0000002	XP_023619081.1	XP_003480815.2, XP_003123451.2, XP_003123462.2, XP_020937696.1, XP_003123498.3
OG0000002	XP_006106213.1, XP_006107455.1, XP_023603892.1, XP_006107457.1, XP_006099738.1, XP_006107116.1, XP_006099739.1	XP_003354160.1, XP_020940775.1, XP_003123442.1
OG0000002	XP_006099744.1	XP_020942030.1, XP_003123499.1, XP_020937411.1
OG0000002	XP_006106217.1, XP_006106215.1, XP_006108057.1, XP_006108056.1, XP_006106216.1, XP_006106496.1, XP_023603038.1, XP_006100411.1	XP_020940767.1, XP_003123441.1, XP_003480819.1, XP_003123492.1, XP_003480816.1
OG0000002	XP_006108663.1, XP_006106497.1, XP_014321261.1, XP_006106784.1, XP_006100410.1, XP_006106501.1, XP_014321263.1, XP_006106783.1, XP_006108546.2, XP_014304154.1, XP_014304155.1, XP_014304265.1, XP_006106494.1	XP_020942029.1, XP_020942026.1, XP_020942027.1
OG0000003	XP_006106487.1	XP_020955500.1
OG0000003	XP_006105754.1	XP_020954093.1
OG0000003	XP_006095234.1, XP_006105894.1	XP_020945588.1
OG0000004	XP_006105904.1	XP_001927727.1
OG0000004	XP_014303296.1	XP_020955497.1
OG0000004	XP_006106486.1	XP_020955498.1
OG0000004	XP_014303409.1	XP_001928592.1, XP_020955499.1
OG0000004	XP_014316718.2	XP_020945584.1
OG0000004	XP_006095233.1	XP_013852658.1
OG0000005	XP_006101362.1, XP_006101381.1	XP_001926317.2
OG0000005	XP_006101391.1, XP_006109268.1	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2
OG0000005	XP_006101365.1	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3
OG0000005	XP_006101378.1	XP_020937937.1, XP_003355500.2, XP_020937458.1
OG0000005	XP_006101368.1	XP_013839577.1
OG0000006	XP_023606226.1, XP_023601033.1, XP_023611373.1, XP_023602675.1, XP_023605007.1, XP_023605031.1, XP_023620624.1, XP_023606225.1, XP_023603621.1, XP_023602676.1, XP_023602721.1, XP_023607947.1, XP_023605259.1, XP_023604781.1	XP_020933479.1, XP_020955477.1
OG0000006	XP_023604080.1, XP_014306381.1, XP_014307657.2, XP_014305168.1, XP_023604957.1, XP_023604864.1	XP_020921056.1, XP_020956191.1, XP_020936626.1, XP_020933478.1, XP_020925483.1, XP_020930447.1
OG0000008	XP_023603086.1, XP_023603088.1	XP_020950594.1
OG0000008	XP_023609052.1	XP_005660392.2
OG0000008	XP_023608739.1	XP_020935751.1
OG0000008	XP_006090633.1	XP_020936063.1, XP_013841559.2
OG0000008	XP_014318909.1	XP_020941711.1, XP_005653115.2
OG0000008	XP_023617197.1	XP_005653113.1
OG0000008	XP_023616724.1	XP_013846325.1
OG0000008	XP_023618878.1	XP_020949541.1
OG0000009	XP_023603895.1, XP_006108147.1, XP_023603897.1, XP_023604454.1, XP_023605044.1, XP_023604763.1, XP_023604764.1, XP_023603922.1, XP_006108085.1, XP_014304586.1, XP_006109548.2, XP_014304465.1, XP_014306514.2, XP_006103427.2, XP_023603919.1, XP_023604980.1, XP_014304469.1, XP_023603555.1, XP_014304476.1, XP_023603920.1, XP_023603918.1, XP_023603634.1, XP_006108930.2, XP_014305975.1, XP_014304594.1, XP_014305051.1, XP_023604586.1, XP_023603595.1, XP_023604095.1	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1
